year,leaid,fips,grade,race,sex,enrollment
2013,100002,1,3,1,1,-1
2013,100002,1,3,1,2,-1
2013,100002,1,3,1,99,0
2013,100002,1,3,2,1,-1
2013,100002,1,3,2,2,-1
2013,100002,1,3,2,99,0
2013,100002,1,3,3,1,-1
2013,100002,1,3,3,2,-1
2013,100002,1,3,3,99,0
2013,100002,1,3,4,1,-1
2013,100002,1,3,4,2,-1
2013,100002,1,3,4,99,0
2013,100002,1,3,5,1,-1
2013,100002,1,3,5,2,-1
2013,100002,1,3,5,99,0
2013,100002,1,3,6,1,-1
2013,100002,1,3,6,2,-1
2013,100002,1,3,6,99,0
2013,100002,1,3,7,1,-1
2013,100002,1,3,7,2,-1
2013,100002,1,3,7,99,0
2013,100002,1,3,99,1,0
2013,100002,1,3,99,2,0
2013,100002,1,3,99,99,-1
2013,100002,1,4,1,1,-1
2013,100002,1,4,1,2,-1
2013,100002,1,4,1,99,0
2013,100002,1,4,2,1,-1
2013,100002,1,4,2,2,-1
2014,100002,1,3,1,1,-1
2014,100002,1,3,1,2,-1
2014,100002,1,3,1,99,0
2014,100002,1,3,2,1,-1
2014,100002,1,3,2,2,-1
2014,100002,1,3,2,99,0
2014,100002,1,3,3,1,-1
2014,100002,1,3,3,2,-1
2014,100002,1,3,3,99,0
2014,100002,1,3,4,1,-1
2014,100002,1,3,4,2,-1
2014,100002,1,3,4,99,0
2014,100002,1,3,5,1,-1
2014,100002,1,3,5,2,-1
2014,100002,1,3,5,99,0
2014,100002,1,3,6,1,-1
2014,100002,1,3,6,2,-1
2014,100002,1,3,6,99,0
2014,100002,1,3,7,1,-1
2014,100002,1,3,7,2,-1
2014,100002,1,3,7,99,0
2014,100002,1,3,99,1,0
2014,100002,1,3,99,2,0
2014,100002,1,3,99,99,-1
2014,100002,1,4,1,1,-1
2014,100002,1,4,1,2,-1
2014,100002,1,4,1,99,0
2014,100002,1,4,2,1,-1
2014,100002,1,4,2,2,-1
2014,100002,1,4,2,99,0
2014,100002,1,4,3,1,-1
2014,100002,1,4,3,2,-1
2014,100002,1,4,3,99,0
2014,100002,1,4,4,1,-1
2014,100002,1,4,4,2,-1
2014,100002,1,4,4,99,0
2014,100002,1,4,5,1,-1
2014,100002,1,4,5,2,-1
2014,100002,1,4,5,99,0
