rowid,leaid,leaid_num,year,lea_name,fips,grade_edfacts,race,sex,lep,homeless,migrant,disability,econ_disadvantaged,foster_care,military_connected,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt
9321,3630630,3630630,2010,WEST GENESEE CENTRAL SCHOOL DISTRICT,36,9,99,99,99,99,99,99,99,99,99,400,99,100,99.5,401,99,100,99.5
13540,903660,903660,2009,REGIONAL SCHOOL DISTRICT 05,9,7,1,99,99,99,99,99,99,99,99,347,96,96,96.0,347,99,100,99.5
26249,903810,903810,2009,RIDGEFIELD SCHOOL DISTRICT,9,4,1,99,99,99,99,99,99,99,99,385,92,92,92.0,385,99,100,99.5
37219,1302220,1302220,2013,Forsyth County,13,5,1,99,99,99,99,99,99,99,99,2339,99,100,99.5,2342,99,100,99.5
52420,5101830,5101830,2009,HANOVER CO PBLC SCHS,51,3,99,2,99,99,99,99,99,99,99,623,93,93,93.0,625,99,100,99.5
65249,3616680,3616680,2011,LANCASTER CENTRAL SCHOOL DISTRICT,36,9,1,99,99,99,99,99,99,99,99,478,97,97,97.0,475,99,100,99.5
67222,3629520,3629520,2012,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,36,9,99,99,99,99,99,99,99,99,99,762,99,100,99.5,767,99,100,99.5
68778,4817760,4817760,2010,EANES ISD,48,3,1,99,99,99,99,99,99,99,99,429,99,100,99.5,431,99,100,99.5
83340,2006420,2006420,2011,Gardner Edgerton,20,7,1,99,99,99,99,99,99,99,99,313,99,100,99.5,314,99,100,99.5
90025,1719290,1719290,2009,Hinsdale CCSD 181,17,7,1,99,99,99,99,99,99,99,99,400,96,96,96.0,400,99,100,99.5
91706,4817760,4817760,2016,EANES ISD,48,8,99,99,99,99,99,99,99,99,99,642,99,100,99.5,944,99,100,99.5
98499,100210,100210,2011,Auburn City,1,99,4,99,99,99,99,99,99,99,99,334,93,93,93.0,344,99,100,99.5
