Fiscal Year,LEA Entity ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,❖ Dropout Percentage Rate
2020,4404,Marana Unified District,5768,A. C. E.,N,All,9.09
2020,4404,Marana Unified District,5768,A. C. E.,N,Asian,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Black/African American,*
2020,4404,Marana Unified District,5768,A. C. E.,N,ELL Cohort,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Female,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Foster Care Cohort,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Hispanic or Latino,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Homeless Cohort,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Income Eligibility 1 and 2,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Male,0
2020,4404,Marana Unified District,5768,A. C. E.,N,Migrant Cohort,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Military Cohort,*
2020,4404,Marana Unified District,5768,A. C. E.,N,Students With Disabilities,*
2020,4404,Marana Unified District,5768,A. C. E.,N,White,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,All,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,American Indian or Alaska Native,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Asian,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Black/African American,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,ELL Cohort,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Female,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Foster Care Cohort,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Hispanic or Latino,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Homeless Cohort,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Income Eligibility 1 and 2,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Male,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Migrant Cohort,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Military Cohort,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Multiple Races,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Native Hawaiian or Pacific Islander,*
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,Students With Disabilities,0
2020,4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,White,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,All,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,American Indian or Alaska Native,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Asian,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Black/African American,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,ELL Cohort,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Female,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Foster Care Cohort,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Hispanic or Latino,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Homeless Cohort,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Income Eligibility 1 and 2,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Male,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Migrant Cohort,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Military Cohort,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Multiple Races,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Native Hawaiian or Pacific Islander,*
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,Students With Disabilities,0
2020,85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,White,0
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,All,3.61
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,American Indian or Alaska Native,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Asian,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Black/African American,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,ELL Cohort,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Female,1.04
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Foster Care Cohort,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Hispanic or Latino,5.56
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Homeless Cohort,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Income Eligibility 1 and 2,0
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Male,7.14
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Migrant Cohort,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Military Cohort,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Multiple Races,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Native Hawaiian or Pacific Islander,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,Students With Disabilities,*
2020,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,White,2.99
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,All,7.32
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,American Indian or Alaska Native,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Black/African American,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,ELL Cohort,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Female,4.76
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Foster Care Cohort,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Hispanic or Latino,4.17
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Homeless Cohort,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Income Eligibility 1 and 2,0
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Male,10
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Migrant Cohort,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Military Cohort,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Multiple Races,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,Students With Disabilities,*
2020,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,Y,White,*
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,All,0.81
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,American Indian or Alaska Native,*
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,Black/African American,*
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,ELL Cohort,*
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,Female,0
2020,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,Foster Care Cohort,*
