SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,IDEA_COUNT,DMS_FLAG
2018-2019,01,ALABAMA,AL,Alabama Youth Services,01,,AL-210,0100002,36,Reported
2018-2019,01,ALABAMA,AL,Albertville City,01,,AL-101,0100005,443,Reported
2018-2019,01,ALABAMA,AL,Marshall County,01,,AL-048,0100006,845,Reported
2018-2019,01,ALABAMA,AL,Hoover City,01,,AL-158,0100007,1316,Reported
2018-2019,01,ALABAMA,AL,Madison City,01,,AL-169,0100008,1277,Reported
2018-2019,01,ALABAMA,AL,Al Inst Deaf And Blind,01,,AL-600,0100009,380,Reported
2018-2019,01,ALABAMA,AL,Leeds City,01,,AL-167,0100011,275,Reported
2018-2019,01,ALABAMA,AL,Boaz City,01,,AL-115,0100012,199,Reported
2018-2019,01,ALABAMA,AL,Trussville City,01,,AL-205,0100013,413,Reported
2018-2019,01,ALABAMA,AL,SafetyNet Academy Minter,01,,AL-602,0100015,51,Reported
2018-2019,01,ALABAMA,AL,Bryce Adolescent School,01,,AL-606,0100016,,Not reported
2018-2019,01,ALABAMA,AL,Alabama School of Fine Arts,01,,AL-207,0100018,,Not reported
2018-2019,01,ALABAMA,AL,United Ability,01,,AL-613,0100019,19,Reported
2018-2019,01,ALABAMA,AL,Boyd School,01,,AL-618,0100020,3,Reported
2018-2019,01,ALABAMA,AL,BrewerPorch Childrens Center,01,,AL-619,0100021,34,Reported
2018-2019,01,ALABAMA,AL,Sequel TSI Courtland LLC,01,,AL-621,0100022,22,Reported
2018-2019,01,ALABAMA,AL,Sequel TSI Madison LLC,01,,AL-623,0100023,15,Reported
2018-2019,01,ALABAMA,AL,Sequel TSI New Beginnings LLC,01,,AL-624,0100024,7,Reported
2018-2019,01,ALABAMA,AL,Sequel TSI Tuskegee LLC,01,,AL-626,0100026,7,Reported
2018-2019,01,ALABAMA,AL,Triwill Portacras,01,,AL-628,0100028,3,Reported
