System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
601,Appling County,3629,240,310,268,270,271,249,260,237,259,260,251,272,243,239
602,Atkinson County,1756,110,141,137,133,124,121,122,141,132,130,127,123,97,118
761,Atlanta Public Schools,50131,1108,4911,4816,4602,4341,4008,3963,3591,3505,3404,4741,2822,2378,1941
603,Bacon County,2091,101,193,167,180,150,155,144,145,161,162,157,136,146,94
604,Baker County,319,0,30,24,29,25,17,33,22,29,29,22,24,20,15
605,Baldwin County,5789,212,557,580,487,547,470,426,398,411,352,473,313,299,264
606,Banks County,2860,14,210,213,204,219,205,212,238,229,249,267,205,208,187
607,Barrow County,13165,380,1067,1080,1081,1073,1018,972,966,987,946,1034,1013,822,726
608,Bartow County,14200,471,1049,1032,1076,1025,1053,1095,1057,1032,1094,1290,1065,970,891
609,Ben Hill County,3302,197,336,316,253,229,231,237,230,236,260,267,192,172,146
610,Berrien County,3213,124,294,280,228,242,241,213,251,238,231,242,219,226,184
611,Bibb County,24180,781,2169,2103,1952,1964,1876,1878,1764,1779,1721,2138,1544,1231,1280
612,Bleckley County,2425,164,188,198,174,161,179,158,185,173,180,188,185,135,157
613,Brantley County,3549,222,254,271,281,217,273,246,277,255,285,263,270,229,206
763,Bremen City,2143,71,169,172,158,162,160,156,166,170,152,161,152,144,150
614,Brooks County,2197,99,169,180,186,168,175,172,144,167,158,157,148,138,136
615,Bryan County,8253,266,597,594,595,617,593,636,644,681,653,689,635,527,526
764,Buford City,3986,11,316,337,313,303,304,302,326,358,275,350,308,246,237
616,Bulloch County,9991,418,856,887,798,767,775,748,733,725,658,760,743,586,537
617,Burke County,4405,325,324,299,334,332,344,328,321,329,320,383,241,290,235
618,Butts County,3445,86,272,273,271,280,286,279,248,246,242,276,240,240,206
765,Calhoun City,3862,202,307,313,299,306,294,303,279,274,288,302,264,244,187
619,Calhoun County,661,24,53,58,55,53,38,50,53,53,48,45,62,37,32
620,Camden County,9179,265,822,795,681,673,679,677,688,674,652,626,687,642,618
621,Candler County,2180,151,174,175,156,168,168,185,149,152,144,188,152,112,106
622,Carroll County,14645,556,1184,1198,1116,1019,1051,1100,1039,1126,1065,1240,1088,976,887
766,Carrollton City,4807,102,372,393,369,363,350,402,376,371,372,345,390,314,288
767,Cartersville City,4202,158,286,317,333,302,360,343,344,308,336,336,272,261,246
623,Catoosa County,10852,236,799,832,766,799,815,831,800,814,870,884,846,818,742
624,Charlton County,1665,91,157,131,137,129,130,97,119,141,135,118,111,83,86
626,Chattahoochee County,945,39,43,46,48,47,47,46,42,52,65,153,119,98,100
627,Chattooga County,2821,104,245,247,210,182,203,171,230,203,223,238,197,205,163
628,Cherokee County,39760,445,2894,3081,3169,3082,3158,3121,3053,3068,3137,3549,3000,2605,2398
769,Chickamauga City,1384,4,91,100,90,97,91,107,117,107,116,132,118,113,101
773,City Schools of Decatur,4167,192,376,402,398,330,321,298,313,286,261,287,259,247,197
629,Clarke County,12826,807,1183,1165,1073,984,1007,993,835,889,844,978,757,698,613
630,Clay County,352,51,36,46,35,35,24,20,32,28,28,17,0,0,0
631,Clayton County,52296,883,4421,4315,4227,4087,4021,3998,3918,4194,3997,4729,3603,3170,2733
632,Clinch County,1405,86,112,112,105,117,91,113,105,104,126,95,78,88,73
633,Cobb County,110001,799,8182,8636,8397,8434,8463,8248,8431,8332,8359,10420,8609,6892,7799
634,Coffee County,7815,429,686,658,605,584,564,572,559,548,589,592,547,472,410
635,Colquitt County,9668,650,881,821,795,730,664,668,655,717,643,667,655,552,570
636,Columbia County,24907,353,1818,1862,1871,1873,1848,1891,1942,2094,1873,2120,1990,1786,1586
771,Commerce City,1511,45,125,124,117,98,117,113,104,125,120,122,115,94,92
637,Cook County,3335,208,261,246,275,237,236,231,230,218,276,267,233,223,194
638,Coweta County,22526,635,1631,1679,1617,1640,1597,1638,1680,1760,1729,2119,1813,1590,1398
639,Crawford County,1829,85,141,156,130,136,127,137,142,140,124,166,136,106,103
640,Crisp County,4298,306,380,353,324,298,310,291,332,297,299,381,293,224,210
641,Dade County,2231,140,161,159,162,168,168,137,183,156,149,177,167,162,142
772,Dalton Public Schools,7703,334,623,632,655,584,608,572,574,563,560,710,487,347,454
642,Dawson County,3530,58,268,274,244,256,292,252,260,274,265,289,283,260,255
644,DeKalb County,99388,2825,8561,8451,8071,7874,7448,7516,6949,7198,7077,8902,6394,6103,6019
643,Decatur County,5450,324,507,397,381,390,374,392,385,420,381,449,390,328,332
645,Dodge County,3308,164,308,255,257,226,249,247,243,246,241,240,235,220,177
646,Dooly County,1430,99,120,115,110,104,125,87,98,100,103,129,103,64,73
647,Dougherty County,15663,333,1424,1426,1309,1281,1199,1129,1129,1192,1081,1343,1080,867,870
648,Douglas County,25577,167,1850,1880,1955,1933,1832,1972,1989,2055,2063,2404,2099,1615,1763
774,Dublin City,2638,178,237,206,200,186,173,181,213,212,190,201,184,134,143
649,Early County,2193,103,177,165,139,138,176,146,187,147,158,194,162,141,160
650,Echols County,823,42,77,74,65,63,53,60,55,70,48,56,56,62,42
