System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
601,Appling County,3653,245,312,278,277,281,254,262,245,266,266,249,260,243,215
602,Atkinson County,1741,110,139,135,129,120,121,126,145,134,129,120,121,97,115
761,Atlanta Public Schools,49842,1123,4926,4829,4591,4311,4029,3990,3623,3485,3420,4532,2644,2090,2249
603,Bacon County,2064,107,191,167,180,154,155,144,138,158,160,141,125,144,100
604,Baker County,317,0,30,25,31,27,19,33,23,30,26,19,20,20,14
605,Baldwin County,5776,275,563,570,484,538,466,429,389,406,344,457,302,290,263
606,Banks County,2868,30,208,211,204,221,211,210,245,244,246,259,199,197,183
607,Barrow County,13245,440,1081,1087,1095,1088,1021,983,978,987,945,1025,971,774,770
608,Bartow County,14134,489,1060,1042,1087,1025,1044,1093,1059,1043,1083,1249,1051,923,886
609,Ben Hill County,3303,209,343,318,247,236,233,238,228,237,259,247,191,169,148
610,Berrien County,3161,142,293,274,238,241,237,215,239,242,228,230,207,211,164
611,Bibb County,23969,829,2165,2098,1957,1963,1868,1889,1754,1779,1699,2011,1491,1189,1277
612,Bleckley County,2432,167,198,199,177,159,183,162,185,172,185,183,176,134,152
613,Brantley County,3573,223,264,274,288,232,275,249,284,256,279,259,263,216,211
763,Bremen City,2147,75,172,173,162,163,162,154,169,169,149,159,147,142,151
614,Brooks County,2214,120,176,178,189,177,170,171,144,173,156,163,140,126,131
615,Bryan County,8299,276,611,610,590,629,613,638,654,693,645,681,614,537,508
764,Buford City,3939,21,298,332,308,300,300,300,324,357,273,346,294,243,243
616,Bulloch County,10019,445,858,882,807,780,772,756,746,729,663,742,691,601,547
617,Burke County,4416,330,342,303,338,334,346,323,324,328,315,372,243,276,242
618,Butts County,3492,115,273,282,274,293,275,282,250,250,236,278,237,241,206
765,Calhoun City,3860,204,314,318,302,321,294,301,276,262,278,301,268,237,184
619,Calhoun County,686,25,56,57,60,54,43,50,55,56,50,50,62,33,35
620,Camden County,9048,309,813,790,669,671,660,666,676,657,643,598,674,591,631
621,Candler County,2147,149,176,169,150,161,173,178,148,147,147,163,151,124,111
622,Carroll County,14580,580,1207,1205,1110,1011,1069,1098,1038,1114,1070,1219,1061,926,872
766,Carrollton City,4811,110,373,386,372,368,340,402,379,370,377,338,378,327,291
767,Cartersville City,4163,164,279,329,318,300,355,341,344,305,336,329,269,254,240
623,Catoosa County,10843,288,799,831,774,800,824,819,796,806,866,878,831,812,719
624,Charlton County,1659,91,164,131,143,126,127,99,112,135,135,114,120,77,85
626,Chattahoochee County,907,37,41,46,49,43,49,44,44,47,62,147,108,92,98
627,Chattooga County,2839,122,253,240,213,184,205,175,238,201,221,233,193,189,172
628,Cherokee County,39668,571,2908,3100,3178,3069,3157,3146,3045,3072,3141,3451,2895,2494,2441
769,Chickamauga City,1396,5,90,101,91,98,91,106,116,112,117,130,121,116,102
