 
System ID, System Name, AUT,  BL,  D,  DB,  EBD,  HH,  MID,  MoID, OHI,  OI,  PID,  SDD,  SI,  SID,  SLD,  TBI,  VI 
"601","Appling County","23","*","*","*","35","*","21","13","53","*","*","91","115","*","138","*","*"
"602","Atkinson County","*","*","*","*","*","*","*","*","38","*","*","34","*","*","94","*","*"
"761","Atlanta Public Schools","669","*","20","*","358","*","384","122","898","11","*","535","512","25","2237","19","12"
"603","Bacon County","19","*","*","*","*","*","*","10","47","*","*","43","62","*","107","*","*"
"604","Baker County","*","*","*","*","*","*","*","*","*","*","*","*","10","*","18","*","*"
"605","Baldwin County","55","*","*","*","62","*","44","26","132","*","*","85","99","*","93","*","*"
"606","Banks County","37","*","*","*","30","*","14","*","75","*","*","58","37","*","156","*","*"
"607","Barrow County","205","*","*","*","93","15","79","35","290","*","*","312","305","16","692","*","10"
"608","Bartow County","104","*","*","*","72","*","77","32","252","19","*","218","245","*","564","*","*"
"609","Ben Hill County","15","*","*","*","30","*","20","15","38","*","*","109","57","*","133","*","*"
"610","Berrien County","23","*","*","*","19","*","22","10","24","*","*","56","75","*","111","*","*"
"611","Bibb County","340","*","*","*","205","30","156","119","307","*","*","172","222","38","666","*","*"
"612","Bleckley County","28","*","*","*","11","*","35","*","67","*","*","49","58","*","108","*","*"
"613","Brantley County","47","*","*","*","10","*","30","*","54","*","*","43","49","*","153","*","*"
"763","Bremen City","*","*","*","*","*","*","*","*","41","*","*","40","35","*","85","*","*"
"614","Brooks County","26","*","*","*","*","*","36","*","45","*","*","20","43","*","67","*","*"
"615","Bryan County","154","*","*","*","74","*","23","21","226","*","*","87","130","*","325","*","*"
"764","Buford City","33","*","*","*","13","*","12","*","88","*","*","39","88","*","175","*","*"
"616","Bulloch County","97","*","*","*","76","*","91","24","298","*","*","224","223","*","482","*","*"
"617","Burke County","19","*","*","*","10","*","24","23","55","*","*","93","82","*","148","*","*"
"618","Butts County","36","*","*","*","20","*","19","*","81","*","*","50","88","*","108","*","*"
"765","Calhoun City","60","*","*","*","22","*","16","*","55","*","*","46","30","*","132","*","*"
"619","Calhoun County","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","*"
"620","Camden County","120","*","*","*","39","*","42","31","213","*","*","140","270","*","443","*","*"
"621","Candler County","13","*","*","*","*","*","*","*","40","*","*","70","60","*","91","*","*"
"622","Carroll County","153","*","*","*","72","14","88","30","363","*","*","278","295","*","807","*","*"
"766","Carrollton City","34","*","*","*","23","*","26","12","78","*","*","73","58","*","273","*","*"
"767","Cartersville City","38","*","*","*","36","*","17","10","80","*","*","64","105","*","130","*","*"
"623","Catoosa County","220","*","*","*","70","*","53","42","341","*","*","235","119","*","737","*","*"
"624","Charlton County","11","*","*","*","*","*","*","*","26","*","*","28","39","*","85","*","*"
"626","Chattahoochee County","*","*","*","*","*","*","12","*","20","*","*","13","23","*","40","*","*"
"627","Chattooga County","39","*","*","*","18","*","41","11","81","*","*","69","60","*","180","*","*"
"628","Cherokee County","621","*","11","*","232","28","111","83","756","17","15","640","712","25","2106","*","12"
"769","Chickamauga City","*","*","*","*","10","*","*","*","25","*","*","*","*","*","32","*","*"
"773","City Schools of Decatur","75","*","*","*","23","*","*","*","96","*","*","46","46","*","169","*","*"
"629","Clarke County","221","*","*","*","135","20","122","48","232","*","*","319","189","12","625","*","*"
"630","Clay County","*","*","*","*","*","*","*","*","*","*","*","*","17","*","*","*","*"
"631","Clayton County","604","*","*","*","389","37","357","202","717","11","11","733","390","63","2512","15","11"
"632","Clinch County","17","*","*","*","*","*","11","*","32","*","*","15","17","*","54","*","*"
"633","Cobb County","1885","*","33","*","637","141","421","233","2368","93","31","1717","1780","67","5606","30","27"
"634","Coffee County","49","*","*","*","*","*","77","27","103","*","*","112","177","*","170","*","*"
"635","Colquitt County","49","*","*","*","37","*","66","60","65","*","*","132","96","11","616","*","*"
"636","Columbia County","375","*","*","*","89","17","74","55","565","*","*","439","453","21","562","*","10"
"771","Commerce City","12","*","*","*","14","*","*","*","23","*","*","20","22","*","92","*","*"
"637","Cook County","26","*","*","*","18","*","20","12","60","*","*","56","73","*","117","*","*"
"638","Coweta County","208","*","*","*","122","18","103","47","552","23","*","275","380","11","706","*","15"
"639","Crawford County","46","*","*","*","17","*","19","*","*","*","*","17","25","*","89","*","*"
"640","Crisp County","32","*","*","*","15","*","48","19","46","*","*","98","108","*","125","*","*"
"641","Dade County","28","*","*","*","*","*","21","*","62","*","*","54","55","*","129","*","*"
"772","Dalton Public Schools","70","*","*","*","24","*","20","27","83","*","*","118","109","*","361","*","*"
"642","Dawson County","42","*","*","*","31","*","16","*","88","*","*","67","93","*","222","*","*"
"644","DeKalb County","1662","21","25","*","520","45","623","255","1337","31","61","1031","816","84","3923","15","16"
"643","Decatur County","46","*","*","*","34","*","45","38","99","*","*","56","81","*","95","*","*"
"890","Department of Corrections","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"891","Department of Juvenile Justice","*","*","*","*","118","*","12","*","81","*","*","*","*","*","87","*","*"
"645","Dodge County","25","*","*","*","28","*","30","28","71","*","*","28","49","*","159","*","*"
"646","Dooly County","*","*","*","*","*","*","21","*","*","*","*","*","41","*","14","*","*"
"647","Dougherty County","112","*","*","*","60","*","206","104","115","*","13","225","196","21","420","*","*"
"648","Douglas County","226","*","*","*","156","17","137","60","535","26","*","597","421","12","1374","*","12"
"774","Dublin City","32","*","*","*","14","*","38","12","59","*","*","43","24","*","56","*","*"
