Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2019-1 Data Report
"October 2, 2018 (FTE 2019-1)"
 
System ID, System Name, Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"","State-Wide","Female","138579","1632","36372","318869","889","333831","33334"
"","State-Wide","Male","145268","1764","38350","327806","887","355721","33900"
"","State-Wide","Total","283847","3396","74722","646675","1776","689552","67234"
"601","Appling County","Female","301","*","*","396","*","995","63"
"601","Appling County","Male","273","*","16","405","*","1057","68"
"601","Appling County","Total","574","*","*","801","*","2052","131"
"602","Atkinson County","Female","330","*","*","128","*","346","*"
"602","Atkinson County","Male","344","*","*","144","*","374","*"
"602","Atkinson County","Total","674","*","*","272","*","720","*"
"603","Bacon County","Female","142","*","*","231","*","617","42"
"603","Bacon County","Male","166","*","*","213","*","672","51"
"603","Bacon County","Total","308","*","*","444","*","1289","93"
"604","Baker County","Female","*","*","*","79","*","33","*"
"604","Baker County","Male","22","*","*","89","*","33","*"
"604","Baker County","Total","*","*","*","168","*","66","*"
"605","Baldwin County","Female","68","*","33","1717","*","620","107"
"605","Baldwin County","Male","65","*","38","1734","*","644","101"
"605","Baldwin County","Total","133","*","71","3451","*","1264","208"
"606","Banks County","Female","124","*","*","29","*","1118","43"
"606","Banks County","Male","120","*","*","19","*","1240","39"
"606","Banks County","Total","244","*","*","48","*","2358","82"
"607","Barrow County","Female","1331","*","322","954","*","3881","372"
"607","Barrow County","Male","1367","17","351","898","*","4168","377"
"607","Barrow County","Total","2698","*","673","1852","*","8049","749"
"608","Bartow County","Female","904","*","60","595","*","4608","310"
"608","Bartow County","Male","978","*","61","652","*","4925","306"
"608","Bartow County","Total","1882","*","121","1247","*","9533","616"
"609","Ben Hill County","Female","184","*","*","666","*","610","47"
"609","Ben Hill County","Male","185","*","*","687","*","684","38"
"609","Ben Hill County","Total","369","*","*","1353","*","1294","85"
"610","Berrien County","Female","125","*","*","213","*","1164","56"
"610","Berrien County","Male","139","*","*","199","*","1183","63"
"610","Berrien County","Total","264","*","*","412","*","2347","119"
"611","Bibb County","Female","590","16","194","8563","*","2078","287"
"611","Bibb County","Male","581","*","245","8779","*","2214","304"
"611","Bibb County","Total","1171","*","439","17342","*","4292","591"
"612","Bleckley County","Female","45","*","*","294","*","879","36"
"612","Bleckley County","Male","29","*","*","351","*","860","45"
"612","Bleckley County","Total","74","*","*","645","*","1739","81"
"613","Brantley County","Female","45","*","*","53","*","1525","37"
"613","Brantley County","Male","41","*","*","64","*","1642","34"
"613","Brantley County","Total","86","*","*","117","*","3167","71"
"614","Brooks County","Female","123","*","*","552","*","327","22"
"614","Brooks County","Male","113","*","*","615","*","380","31"
"614","Brooks County","Total","236","*","*","1167","*","707","53"
"615","Bryan County","Female","408","*","131","728","*","3138","254"
"615","Bryan County","Male","388","15","138","791","*","3345","267"
"615","Bryan County","Total","796","*","269","1519","*","6483","521"
"616","Bulloch County","Female","398","*","74","1923","*","2553","220"
"616","Bulloch County","Male","354","*","80","2008","*","2807","188"
"616","Bulloch County","Total","752","*","154","3931","*","5360","408"
"617","Burke County","Female","79","*","*","1353","*","527","87"
"617","Burke County","Male","75","*","*","1289","*","651","70"
"617","Burke County","Total","154","*","*","2642","*","1178","157"
"618","Butts County","Female","62","*","*","571","*","1010","84"
"618","Butts County","Male","90","*","*","576","*","988","79"
"618","Butts County","Total","152","*","*","1147","*","1998","163"
"619","Calhoun County","Female","*","*","*","237","*","*","*"
"619","Calhoun County","Male","*","*","*","274","*","*","*"
"619","Calhoun County","Total","*","*","*","511","*","*","*"
"620","Camden County","Female","401","*","60","982","*","2683","364"
"620","Camden County","Male","424","*","57","1037","*","2945","363"
"620","Camden County","Total","825","*","117","2019","*","5628","727"
"621","Candler County","Female","238","*","*","310","*","492","34"
"621","Candler County","Male","231","*","*","342","*","551","36"
"621","Candler County","Total","469","*","*","652","*","1043","70"
"622","Carroll County","Female","691","*","31","1208","*","4839","480"
"622","Carroll County","Male","725","16","40","1292","*","5242","505"
"622","Carroll County","Total","1416","*","71","2500","*","10081","985"
"623","Catoosa County","Female","219","*","78","148","15","4452","176"
"623","Catoosa County","Male","246","*","122","160","15","4895","211"
"623","Catoosa County","Total","465","*","200","308","30","9347","387"
"624","Charlton County","Female","21","*","*","254","*","502","56"
"624","Charlton County","Male","21","*","*","258","*","532","60"
"624","Charlton County","Total","42","*","*","512","*","1034","116"
"625","Savannah-Chatham County","Female","1885","59","413","10817","27","4518","903"
"625","Savannah-Chatham County","Male","1973","53","462","10742","23","4791","910"
"625","Savannah-Chatham County","Total","3858","112","875","21559","50","9309","1813"
"626","Chattahoochee County","Female","54","*","*","117","*","240","30"
"626","Chattahoochee County","Male","46","*","*","115","*","269","34"
"626","Chattahoochee County","Total","100","*","*","232","*","509","64"
"627","Chattooga County","Female","86","*","*","113","*","1036","80"
"627","Chattooga County","Male","87","*","*","126","*","1089","87"
"627","Chattooga County","Total","173","*","*","239","*","2125","167"
"628","Cherokee County","Female","3859","29","393","1566","*","13744","886"
"628","Cherokee County","Male","4259","23","408","1618","15","14690","911"
"628","Cherokee County","Total","8118","52","801","3184","*","28434","1797"
"629","Clarke County","Female","1605","*","91","3214","*","1343","265"
"629","Clarke County","Male","1736","*","139","3325","*","1478","285"
"629","Clarke County","Total","3341","*","230","6539","*","2821","550"
"630","Clay County","Female","*","*","*","99","*","*","*"
"630","Clay County","Male","*","*","*","97","*","*","*"
"630","Clay County","Total","*","*","*","196","*","*","*"
"631","Clayton County","Female","5916","48","951","18950","22","523","739"
"631","Clayton County","Male","6072","57","1021","19230","20","608","683"
"631","Clayton County","Total","11988","105","1972","38180","42","1131","1422"
"632","Clinch County","Female","28","*","*","238","*","338","31"
"632","Clinch County","Male","35","*","*","238","*","398","36"
"632","Clinch County","Total","63","*","*","476","*","736","67"
"633","Cobb County","Female","12103","126","3167","17033","44","20165","2153"
"633","Cobb County","Male","12681","108","3290","17419","29","21397","2139"
