Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2019-3 Data Report
"March 7, 2019 (FTE 2019-3)"
 
System ID, System Name, Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"","State-Wide","Female","139284","1578","36607","317697","876","331133","33323"
"","State-Wide","Male","145793","1714","38556","325849","885","352770","33773"
"","State-Wide","Total","285077","3292","75163","643546","1761","683903","67096"
"601","Appling County","Female","303","*","*","397","*","980","66"
"601","Appling County","Male","279","*","*","413","*","1045","68"
"601","Appling County","Total","582","*","*","810","*","2025","134"
"602","Atkinson County","Female","340","*","*","129","*","340","15"
"602","Atkinson County","Male","352","*","*","141","*","368","*"
"602","Atkinson County","Total","692","*","*","270","*","708","*"
"603","Bacon County","Female","146","*","*","221","*","621","38"
"603","Bacon County","Male","176","*","*","209","*","675","51"
"603","Bacon County","Total","322","*","*","430","*","1296","89"
"604","Baker County","Female","*","*","*","78","*","35","*"
"604","Baker County","Male","22","*","*","86","*","35","*"
"604","Baker County","Total","*","*","*","164","*","70","*"
"605","Baldwin County","Female","71","*","33","1708","*","596","110"
"605","Baldwin County","Male","68","*","36","1714","*","628","105"
"605","Baldwin County","Total","139","*","69","3422","*","1224","215"
"606","Banks County","Female","128","*","*","24","*","1114","43"
"606","Banks County","Male","122","*","*","15","*","1249","41"
"606","Banks County","Total","250","*","*","39","*","2363","84"
"607","Barrow County","Female","1362","*","322","958","*","3838","372"
"607","Barrow County","Male","1380","17","355","906","*","4131","367"
"607","Barrow County","Total","2742","*","677","1864","*","7969","739"
"608","Bartow County","Female","924","*","64","613","*","4601","312"
"608","Bartow County","Male","987","*","61","637","*","4898","310"
"608","Bartow County","Total","1911","*","125","1250","*","9499","622"
"609","Ben Hill County","Female","185","*","*","683","*","598","42"
"609","Ben Hill County","Male","185","*","*","681","*","683","39"
"609","Ben Hill County","Total","370","*","*","1364","*","1281","81"
"610","Berrien County","Female","124","*","*","207","*","1139","58"
"610","Berrien County","Male","139","*","*","195","*","1177","63"
"610","Berrien County","Total","263","*","*","402","*","2316","121"
"611","Bibb County","Female","584","19","202","8487","*","2035","286"
"611","Bibb County","Male","597","*","249","8725","*","2174","311"
"611","Bibb County","Total","1181","*","451","17212","*","4209","597"
"612","Bleckley County","Female","44","*","*","297","*","867","31"
"612","Bleckley County","Male","33","*","*","354","*","850","44"
"612","Bleckley County","Total","77","*","*","651","*","1717","75"
"613","Brantley County","Female","46","*","*","48","*","1494","41"
"613","Brantley County","Male","43","*","*","61","*","1657","33"
"613","Brantley County","Total","89","*","*","109","*","3151","74"
"614","Brooks County","Female","125","*","*","561","*","325","30"
"614","Brooks County","Male","117","*","*","631","*","377","33"
"614","Brooks County","Total","242","*","*","1192","*","702","63"
"615","Bryan County","Female","422","*","132","752","*","3099","260"
"615","Bryan County","Male","394","*","144","800","15","3304","277"
"615","Bryan County","Total","816","*","276","1552","*","6403","537"
"616","Bulloch County","Female","415","*","73","1934","*","2543","207"
"616","Bulloch County","Male","361","*","75","2020","*","2784","187"
"616","Bulloch County","Total","776","*","148","3954","*","5327","394"
"617","Burke County","Female","82","*","*","1344","*","538","89"
"617","Burke County","Male","81","*","*","1270","*","656","71"
"617","Burke County","Total","163","*","*","2614","*","1194","160"
"618","Butts County","Female","69","*","*","579","*","1008","88"
"618","Butts County","Male","99","*","*","597","*","982","82"
"618","Butts County","Total","168","*","*","1176","*","1990","170"
"619","Calhoun County","Female","*","*","*","235","*","*","*"
"619","Calhoun County","Male","*","*","*","271","*","*","*"
"619","Calhoun County","Total","*","*","*","506","*","*","*"
"620","Camden County","Female","397","*","61","983","*","2637","373"
"620","Camden County","Male","416","*","57","1035","*","2857","382"
"620","Camden County","Total","813","*","118","2018","*","5494","755"
"621","Candler County","Female","207","*","*","314","*","491","38"
"621","Candler County","Male","209","*","*","340","*","551","40"
"621","Candler County","Total","416","*","*","654","*","1042","78"
"622","Carroll County","Female","700","*","31","1188","*","4804","471"
"622","Carroll County","Male","719","18","42","1295","*","5215","511"
"622","Carroll County","Total","1419","*","73","2483","*","10019","982"
"623","Catoosa County","Female","220","*","78","148","*","4445","174"
"623","Catoosa County","Male","242","*","124","164","*","4881","208"
"623","Catoosa County","Total","462","*","202","312","*","9326","382"
"624","Charlton County","Female","24","*","*","251","*","511","56"
"624","Charlton County","Male","22","*","*","246","*","534","58"
"624","Charlton County","Total","46","*","*","497","*","1045","114"
"625","Savannah-Chatham County","Female","1948","53","406","10750","26","4440","908"
"625","Savannah-Chatham County","Male","2009","54","468","10638","23","4728","891"
"625","Savannah-Chatham County","Total","3957","107","874","21388","49","9168","1799"
"626","Chattahoochee County","Female","58","*","*","112","*","228","33"
"626","Chattahoochee County","Male","58","*","*","112","*","252","34"
"626","Chattahoochee County","Total","116","*","*","224","*","480","67"
"627","Chattooga County","Female","89","*","*","115","*","1041","81"
"627","Chattooga County","Male","90","*","*","127","*","1103","85"
"627","Chattooga County","Total","179","*","*","242","*","2144","166"
"628","Cherokee County","Female","3916","30","393","1554","*","13652","889"
"628","Cherokee County","Male","4290","23","411","1620","15","14520","920"
"628","Cherokee County","Total","8206","53","804","3174","*","28172","1809"
"629","Clarke County","Female","1593","*","91","3195","*","1311","254"
"629","Clarke County","Male","1713","*","133","3265","*","1465","287"
"629","Clarke County","Total","3306","*","224","6460","*","2776","541"
"630","Clay County","Female","*","*","*","107","*","*","*"
"630","Clay County","Male","*","*","*","102","*","*","*"
"630","Clay County","Total","*","*","*","209","*","*","*"
"631","Clayton County","Female","5913","49","943","18836","18","511","711"
"631","Clayton County","Male","6008","57","1025","18984","18","589","660"
"631","Clayton County","Total","11921","106","1968","37820","36","1100","1371"
"632","Clinch County","Female","30","*","*","239","*","334","33"
"632","Clinch County","Male","34","*","*","246","*","388","35"
"632","Clinch County","Total","64","*","*","485","*","722","68"
"633","Cobb County","Female","12142","116","3158","17002","47","20073","2156"
"633","Cobb County","Male","12720","104","3311","17391","32","21327","2143"
"633","Cobb County","Total","24862","220","6469","34393","79","41400","4299"
"634","Coffee County","Female","765","*","19","1184","*","1703","119"
"634","Coffee County","Male","782","*","33","1186","*","1795","116"
"634","Coffee County","Total","1547","*","52","2370","*","3498","235"
"635","Colquitt County","Female","1368","*","47","1158","*","1822","127"
"635","Colquitt County","Male","1442","*","50","1304","*","2068","137"
"635","Colquitt County","Total","2810","*","97","2462","*","3890","264"
"636","Columbia County","Female","1419","38","527","2820","43","7850","922"
"636","Columbia County","Male","1510","35","617","2978","39","8035","882"
"636","Columbia County","Total","2929","73","1144","5798","82","15885","1804"
"637","Cook County","Female","139","*","16","511","*","803","54"
"637","Cook County","Male","162","*","19","532","*","816","52"
"637","Cook County","Total","301","*","35","1043","*","1619","106"
"638","Coweta County","Female","1172","35","247","2459","*","6636","506"
"638","Coweta County","Male","1208","44","239","2687","*","6897","502"
"638","Coweta County","Total","2380","79","486","5146","*","13533","1008"
"639","Crawford County","Female","32","*","*","179","*","561","53"
"639","Crawford County","Male","37","*","*","191","*","630","33"
"639","Crawford County","Total","69","*","*","370","*","1191","86"
"640","Crisp County","Female","95","*","29","1119","*","648","46"
"640","Crisp County","Male","113","*","34","1156","*","623","69"
"640","Crisp County","Total","208","*","63","2275","*","1271","115"
"641","Dade County","Female","26","*","*","*","*","984","25"
"641","Dade County","Male","23","*","*","*","*","1052","21"
"641","Dade County","Total","49","*","*","*","*","2036","46"
"642","Dawson County","Female","187","*","*","*","*","1496","40"
"642","Dawson County","Male","163","*","*","*","*","1637","36"
"642","Dawson County","Total","350","*","*","*","*","3133","76"
"643","Decatur County","Female","271","*","15","1231","*","903","66"
"643","Decatur County","Male","278","*","*","1253","*","953","80"
"643","Decatur County","Total","549","*","*","2484","*","1856","146"
"644","DeKalb County","Female","8732","142","3175","29339","62","5466","1020"
"644","DeKalb County","Male","9460","170","3539","30335","54","5903","1017"
"644","DeKalb County","Total","18192","312","6714","59674","116","11369","2037"
"645","Dodge County","Female","55","*","*","557","*","854","50"
"645","Dodge County","Male","71","*","*","564","*","872","67"
"645","Dodge County","Total","126","*","*","1121","*","1726","117"
"646","Dooly County","Female","98","*","*","444","*","44","*"
"646","Dooly County","Male","112","*","*","435","*","48","*"
"646","Dooly County","Total","210","*","*","879","*","92","*"
"647","Dougherty County","Female","216","17","26","6251","*","339","110"
"647","Dougherty County","Male","205","26","23","6319","*","429","106"
"647","Dougherty County","Total","421","43","49","12570","*","768","216"
"648","Douglas County","Female","2195","25","187","7104","29","2793","610"
"648","Douglas County","Male","2327","20","159","7289","29","3212","660"
"648","Douglas County","Total","4522","45","346","14393","58","6005","1270"
"649","Early County","Female","24","*","*","708","*","207","23"
"649","Early County","Male","23","*","*","712","*","280","22"
"649","Early County","Total","47","*","*","1420","*","487","45"
"650","Echols County","Female","205","*","*","15","*","193","*"
"650","Echols County","Male","185","*","*","*","*","236","*"
"650","Echols County","Total","390","*","*","*","*","429","*"
"651","Effingham County","Female","469","*","54","955","*","4327","303"
"651","Effingham County","Male","503","*","53","1025","*","4622","326"
"651","Effingham County","Total","972","*","107","1980","*","8949","629"
"652","Elbert County","Female","167","*","*","556","*","710","68"
"652","Elbert County","Male","140","*","17","527","*","762","65"
"652","Elbert County","Total","307","*","*","1083","*","1472","133"
"653","Emanuel County","Female","172","*","*","860","*","950","47"
