DBN,School,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
01M056,CORLEARS SCHOOL,2001,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2001,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2001,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2008,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2008,4 Year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,4 Year  June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,5 Year  June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,6 Year,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,55,37,67.3%,17,30.9%,45.9%,0,0.0%,0.0%,17,30.9%,45.9%,20,36.4%,54.1%,15,27.3%,3,5.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year  June,58,39,67.2%,18,31.0%,46.2%,0,0.0%,0.0%,18,31.0%,46.2%,21,36.2%,53.8%,4,6.9%,13,22.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,56,41,73.2%,18,32.1%,43.9%,0,0.0%,0.0%,18,32.1%,43.9%,23,41.1%,56.1%,2,3.6%,12,21.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,64,43,67.2%,27,42.2%,62.8%,0,0.0%,0.0%,27,42.2%,62.8%,16,25.0%,37.2%,9,14.1%,9,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,64,44,68.8%,27,42.2%,61.4%,0,0.0%,0.0%,27,42.2%,61.4%,17,26.6%,38.6%,8,12.5%,9,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year  June,66,46,69.7%,28,42.4%,60.9%,0,0.0%,0.0%,28,42.4%,60.9%,18,27.3%,39.1%,4,6.1%,11,16.7%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,65,47,72.3%,29,44.6%,61.7%,0,0.0%,0.0%,29,44.6%,61.7%,18,27.7%,38.3%,1,1.5%,11,16.9%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,78,43,55.1%,36,46.2%,83.7%,0,0.0%,0.0%,36,46.2%,83.7%,7,9.0%,16.3%,16,20.5%,11,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,78,44,56.4%,37,47.4%,84.1%,0,0.0%,0.0%,37,47.4%,84.1%,7,9.0%,15.9%,15,19.2%,11,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,71,44,62.0%,36,50.7%,81.8%,0,0.0%,0.0%,36,50.7%,81.8%,8,11.3%,18.2%,0,0.0%,19,26.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,71,44,62.0%,36,50.7%,81.8%,0,0.0%,0.0%,36,50.7%,81.8%,8,11.3%,18.2%,0,0.0%,19,26.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,6 Year,73,44,60.3%,36,49.3%,81.8%,0,0.0%,0.0%,36,49.3%,81.8%,8,11.0%,18.2%,1,1.4%,21,28.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,77,41,53.2%,28,36.4%,68.3%,0,0.0%,0.0%,28,36.4%,68.3%,13,16.9%,31.7%,25,32.5%,5,6.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,77,45,58.4%,29,37.7%,64.4%,0,0.0%,0.0%,29,37.7%,64.4%,16,20.8%,35.6%,22,28.6%,5,6.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,5 Year  June,77,51,66.2%,30,39.0%,58.8%,0,0.0%,0.0%,30,39.0%,58.8%,21,27.3%,41.2%,2,2.6%,16,20.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,5 Year August,77,51,66.2%,30,39.0%,58.8%,0,0.0%,0.0%,30,39.0%,58.8%,21,27.3%,41.2%,2,2.6%,16,20.8%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,6 Year,77,53,68.8%,31,40.3%,58.5%,0,0.0%,0.0%,31,40.3%,58.5%,22,28.6%,41.5%,2,2.6%,14,18.2%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,4 Year  June,70,35,50.0%,29,41.4%,82.9%,0,0.0%,0.0%,29,41.4%,82.9%,6,8.6%,17.1%,19,27.1%,13,18.6%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,4 Year August,70,36,51.4%,30,42.9%,83.3%,0,0.0%,0.0%,30,42.9%,83.3%,6,8.6%,16.7%,18,25.7%,13,18.6%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,5 Year  June,68,39,57.4%,33,48.5%,84.6%,0,0.0%,0.0%,33,48.5%,84.6%,6,8.8%,15.4%,14,20.6%,12,17.6%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,5 Year August,68,40,58.8%,34,50.0%,85.0%,0,0.0%,0.0%,34,50.0%,85.0%,6,8.8%,15.0%,13,19.1%,12,17.6%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,6 Year,68,40,58.8%,34,50.0%,85.0%,0,0.0%,0.0%,34,50.0%,85.0%,6,8.8%,15.0%,7,10.3%,18,26.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,4 Year  June,85,47,55.3%,42,49.4%,89.4%,0,0.0%,0.0%,42,49.4%,89.4%,5,5.9%,10.6%,30,35.3%,8,9.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,4 Year August,85,49,57.6%,44,51.8%,89.8%,0,0.0%,0.0%,44,51.8%,89.8%,5,5.9%,10.2%,28,32.9%,8,9.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,5 Year  June,82,55,67.1%,49,59.8%,89.1%,0,0.0%,0.0%,49,59.8%,89.1%,6,7.3%,10.9%,12,14.6%,15,18.3%
