"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Gender Name","Enrollment by Gender"
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"21ST CENTURY EARLY LEARNING FOUNDA",108913118,"Female",137
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"21ST CENTURY EARLY LEARNING FOUNDA",108913118,"Male",123
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"3D ACADEMY",108902006,"Female",92
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"3D ACADEMY",108902006,"Male",87
"2015-2016",08,"HUNT COUNTY","GREENVILLE ISD",116905,"6TH GRADE CENTER",116905108,"Female",163
"2015-2016",08,"HUNT COUNTY","GREENVILLE ISD",116905,"6TH GRADE CENTER",116905108,"Male",207
"2015-2016",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONS H S",021901001,"Female",890
"2015-2016",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONS H S",021901001,"Male",896
"2015-2016",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONSOLIDATED MIDDLE",021901042,"Female",443
"2015-2016",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONSOLIDATED MIDDLE",021901042,"Male",439
"2015-2016",17,"FLOYD COUNTY","FLOYDADA ISD",077901,"A B DUNCAN EL",077901101,"Female",232
"2015-2016",17,"FLOYD COUNTY","FLOYDADA ISD",077901,"A B DUNCAN EL",077901101,"Male",240
"2015-2016",12,"LIMESTONE COUNTY","MEXIA ISD",147903,"A B MCBAY EL",147903103,"Female",240
"2015-2016",12,"LIMESTONE COUNTY","MEXIA ISD",147903,"A B MCBAY EL",147903103,"Male",262
"2015-2016",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"A C BLUNT MIDDLE",205901041,"Female",201
"2015-2016",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"A C BLUNT MIDDLE",205901041,"Male",218
