"Year","Grade Level Name","Gender Name","Gender Count"
"2015-2016","Early Education","Female",6860
"2015-2016","Early Education","Male",15256
"2015-2016","Early Education","Total Both Genders",22116
"2015-2016","Pre-kindergarten","Female",110060
"2015-2016","Pre-kindergarten","Male",111271
"2015-2016","Pre-kindergarten","Total Both Genders",221331
"2015-2016","Kindergarten","Female",183269
"2015-2016","Kindergarten","Male",193544
"2015-2016","Kindergarten","Total Both Genders",376813
"2015-2016","Grade  1","Female",199173
"2015-2016","Grade  1","Male",210804
"2015-2016","Grade  1","Total Both Genders",409977
"2015-2016","Grade  2","Female",200116
"2015-2016","Grade  2","Male",211170
"2015-2016","Grade  2","Total Both Genders",411286
"2015-2016","Grade  3","Female",199117
"2015-2016","Grade  3","Male",210274
"2015-2016","Grade  3","Total Both Genders",409391
"2015-2016","Grade  4","Female",193566
"2015-2016","Grade  4","Male",203490
"2015-2016","Grade  4","Total Both Genders",397056
"2015-2016","Grade  5","Female",191864
"2015-2016","Grade  5","Male",202256
"2015-2016","Grade  5","Total Both Genders",394120
"2015-2016","Grade  6","Female",190694
"2015-2016","Grade  6","Male",199828
"2015-2016","Grade  6","Total Both Genders",390522
"2015-2016","Grade  7","Female",189838
"2015-2016","Grade  7","Male",199681
"2015-2016","Grade  7","Total Both Genders",389519
"2015-2016","Grade  8","Female",188153
"2015-2016","Grade  8","Male",198409
"2015-2016","Grade  8","Total Both Genders",386562
"2015-2016","Grade  9","Female",205223
"2015-2016","Grade  9","Male",223481
"2015-2016","Grade  9","Total Both Genders",428704
"2015-2016","Grade 10","Female",188444
"2015-2016","Grade 10","Male",198090
"2015-2016","Grade 10","Total Both Genders",386534
"2015-2016","Grade 11","Female",174454
"2015-2016","Grade 11","Male",177865
"2015-2016","Grade 11","Total Both Genders",352319
"2015-2016","Grade 12","Female",160161
"2015-2016","Grade 12","Male",163317
"2015-2016","Grade 12","Total Both Genders",323478
"2015-2016","Total All Grade Levels","Total Both Genders",5299728

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

