"Year","Grade Level Name","Enrollment by Grade Level"
"2015-2016","Early Education",22116
"2015-2016","Pre-kindergarten",221331
"2015-2016","Kindergarten",376813
"2015-2016","Grade  1",409977
"2015-2016","Grade  2",411286
"2015-2016","Grade  3",409391
"2015-2016","Grade  4",397056
"2015-2016","Grade  5",394120
"2015-2016","Grade  6",390522
"2015-2016","Grade  7",389519
"2015-2016","Grade  8",386562
"2015-2016","Grade  9",428704
"2015-2016","Grade 10",386534
"2015-2016","Grade 11",352319
"2015-2016","Grade 12",323478
"2015-2016","All Grade Levels",5299728

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

