"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2016-2017",07,"ANDERSON COUNTY","Early Education",24
"2016-2017",07,"ANDERSON COUNTY","Pre-kindergarten",377
"2016-2017",07,"ANDERSON COUNTY","Kindergarten",663
"2016-2017",07,"ANDERSON COUNTY","Grade  1",615
"2016-2017",07,"ANDERSON COUNTY","Grade  2",672
"2016-2017",07,"ANDERSON COUNTY","Grade  3",613
"2016-2017",07,"ANDERSON COUNTY","Grade  4",625
"2016-2017",07,"ANDERSON COUNTY","Grade  5",618
"2016-2017",07,"ANDERSON COUNTY","Grade  6",623
"2016-2017",07,"ANDERSON COUNTY","Grade  7",640
"2016-2017",07,"ANDERSON COUNTY","Grade  8",623
"2016-2017",07,"ANDERSON COUNTY","Grade  9",679
"2016-2017",07,"ANDERSON COUNTY","Grade 10",624
"2016-2017",07,"ANDERSON COUNTY","Grade 11",599
"2016-2017",07,"ANDERSON COUNTY","Grade 12",544
"2016-2017",18,"ANDREWS COUNTY","Early Education",20
"2016-2017",18,"ANDREWS COUNTY","Pre-kindergarten",133
"2016-2017",18,"ANDREWS COUNTY","Kindergarten",308
"2016-2017",18,"ANDREWS COUNTY","Grade  1",292
"2016-2017",18,"ANDREWS COUNTY","Grade  2",317
"2016-2017",18,"ANDREWS COUNTY","Grade  3",292
"2016-2017",18,"ANDREWS COUNTY","Grade  4",359
"2016-2017",18,"ANDREWS COUNTY","Grade  5",293
"2016-2017",18,"ANDREWS COUNTY","Grade  6",310
"2016-2017",18,"ANDREWS COUNTY","Grade  7",311
"2016-2017",18,"ANDREWS COUNTY","Grade  8",302
"2016-2017",18,"ANDREWS COUNTY","Grade  9",286
"2016-2017",18,"ANDREWS COUNTY","Grade 10",287
"2016-2017",18,"ANDREWS COUNTY","Grade 11",238
"2016-2017",18,"ANDREWS COUNTY","Grade 12",218
"2016-2017",07,"ANGELINA COUNTY","Early Education",54
"2016-2017",07,"ANGELINA COUNTY","Pre-kindergarten",1111
"2016-2017",07,"ANGELINA COUNTY","Kindergarten",1236
"2016-2017",07,"ANGELINA COUNTY","Grade  1",1288
"2016-2017",07,"ANGELINA COUNTY","Grade  2",1287
"2016-2017",07,"ANGELINA COUNTY","Grade  3",1302
"2016-2017",07,"ANGELINA COUNTY","Grade  4",1378
"2016-2017",07,"ANGELINA COUNTY","Grade  5",1295
"2016-2017",07,"ANGELINA COUNTY","Grade  6",1261
"2016-2017",07,"ANGELINA COUNTY","Grade  7",1314
"2016-2017",07,"ANGELINA COUNTY","Grade  8",1179
"2016-2017",07,"ANGELINA COUNTY","Grade  9",1348
"2016-2017",07,"ANGELINA COUNTY","Grade 10",1268
"2016-2017",07,"ANGELINA COUNTY","Grade 11",1213
"2016-2017",07,"ANGELINA COUNTY","Grade 12",1120
"2016-2017",02,"ARANSAS COUNTY","Early Education",5
"2016-2017",02,"ARANSAS COUNTY","Pre-kindergarten",86
"2016-2017",02,"ARANSAS COUNTY","Kindergarten",257
"2016-2017",02,"ARANSAS COUNTY","Grade  1",271
"2016-2017",02,"ARANSAS COUNTY","Grade  2",253
"2016-2017",02,"ARANSAS COUNTY","Grade  3",264
"2016-2017",02,"ARANSAS COUNTY","Grade  4",244
"2016-2017",02,"ARANSAS COUNTY","Grade  5",248
"2016-2017",02,"ARANSAS COUNTY","Grade  6",269
"2016-2017",02,"ARANSAS COUNTY","Grade  7",290
"2016-2017",02,"ARANSAS COUNTY","Grade  8",218
"2016-2017",02,"ARANSAS COUNTY","Grade  9",271
"2016-2017",02,"ARANSAS COUNTY","Grade 10",266
"2016-2017",02,"ARANSAS COUNTY","Grade 11",255
"2016-2017",02,"ARANSAS COUNTY","Grade 12",197
"2016-2017",09,"ARCHER COUNTY","Early Education",7
"2016-2017",09,"ARCHER COUNTY","Pre-kindergarten",51
"2016-2017",09,"ARCHER COUNTY","Kindergarten",126
"2016-2017",09,"ARCHER COUNTY","Grade  1",115
"2016-2017",09,"ARCHER COUNTY","Grade  2",123
"2016-2017",09,"ARCHER COUNTY","Grade  3",141
"2016-2017",09,"ARCHER COUNTY","Grade  4",125
