"Year","Region","Ethnicity","Ethnicity Name","Enrollment by Ethnicity"
"2016-2017",01,"African_American","Black or African American",1558
"2016-2017",01,"American_Indian","American Indian or Alaska Native",216
"2016-2017",01,"Asian","Asian",1842
"2016-2017",01,"Hispanic","Hispanic",419684
"2016-2017",01,"Pacific","Native Hawaiian/Other or Pacific Islander",62
"2016-2017",01,"Two_or_more_races","Two or More Races",423
"2016-2017",01,"White","White",7243
"2016-2017",02,"African_American","Black or African American",2577
"2016-2017",02,"American_Indian","American Indian or Alaska Native",178
"2016-2017",02,"Asian","Asian",1244
"2016-2017",02,"Hispanic","Hispanic",75640
"2016-2017",02,"Pacific","Native Hawaiian/Other or Pacific Islander",71
"2016-2017",02,"Two_or_more_races","Two or More Races",1143
"2016-2017",02,"White","White",20438
"2016-2017",03,"African_American","Black or African American",4646
"2016-2017",03,"American_Indian","American Indian or Alaska Native",85
"2016-2017",03,"Asian","Asian",615
"2016-2017",03,"Hispanic","Hispanic",30928
"2016-2017",03,"Pacific","Native Hawaiian/Other or Pacific Islander",20
"2016-2017",03,"Two_or_more_races","Two or More Races",803
"2016-2017",03,"White","White",17014
"2016-2017",04,"African_American","Black or African American",224331
"2016-2017",04,"American_Indian","American Indian or Alaska Native",5548
"2016-2017",04,"Asian","Asian",83480
"2016-2017",04,"Hispanic","Hispanic",611044
"2016-2017",04,"Pacific","Native Hawaiian/Other or Pacific Islander",1416
"2016-2017",04,"Two_or_more_races","Two or More Races",22510
"2016-2017",04,"White","White",259444
"2016-2017",05,"African_American","Black or African American",21614
"2016-2017",05,"American_Indian","American Indian or Alaska Native",509
"2016-2017",05,"Asian","Asian",1899
"2016-2017",05,"Hispanic","Hispanic",16807
"2016-2017",05,"Pacific","Native Hawaiian/Other or Pacific Islander",61
"2016-2017",05,"Two_or_more_races","Two or More Races",1889
"2016-2017",05,"White","White",39687
"2016-2017",06,"African_American","Black or African American",20418
"2016-2017",06,"American_Indian","American Indian or Alaska Native",845
"2016-2017",06,"Asian","Asian",4527
"2016-2017",06,"Hispanic","Hispanic",69490
"2016-2017",06,"Pacific","Native Hawaiian/Other or Pacific Islander",191
"2016-2017",06,"Two_or_more_races","Two or More Races",4888
"2016-2017",06,"White","White",93340
"2016-2017",07,"African_American","Black or African American",28960
"2016-2017",07,"American_Indian","American Indian or Alaska Native",684
"2016-2017",07,"Asian","Asian",1609
"2016-2017",07,"Hispanic","Hispanic",47315
"2016-2017",07,"Pacific","Native Hawaiian/Other or Pacific Islander",119
"2016-2017",07,"Two_or_more_races","Two or More Races",5041
"2016-2017",07,"White","White",86154
"2016-2017",08,"African_American","Black or African American",12070
"2016-2017",08,"American_Indian","American Indian or Alaska Native",365
"2016-2017",08,"Asian","Asian",468
"2016-2017",08,"Hispanic","Hispanic",14011
"2016-2017",08,"Pacific","Native Hawaiian/Other or Pacific Islander",58
"2016-2017",08,"Two_or_more_races","Two or More Races",2421
"2016-2017",08,"White","White",32192
"2016-2017",09,"African_American","Black or African American",2683
"2016-2017",09,"American_Indian","American Indian or Alaska Native",254
"2016-2017",09,"Asian","Asian",557
"2016-2017",09,"Hispanic","Hispanic",10479
"2016-2017",09,"Pacific","Native Hawaiian/Other or Pacific Islander",45
"2016-2017",09,"Two_or_more_races","Two or More Races",1535
"2016-2017",09,"White","White",22238
"2016-2017",10,"African_American","Black or African American",155694
"2016-2017",10,"American_Indian","American Indian or Alaska Native",5171
"2016-2017",10,"Asian","Asian",61162
"2016-2017",10,"Hispanic","Hispanic",364796
"2016-2017",10,"Pacific","Native Hawaiian/Other or Pacific Islander",915
"2016-2017",10,"Two_or_more_races","Two or More Races",20041
"2016-2017",10,"White","White",237117
"2016-2017",11,"African_American","Black or African American",86044
"2016-2017",11,"American_Indian","American Indian or Alaska Native",2622
