"Year","Region","Gender","Gender Name","Enrollment by Gender"
"2016-2017",01,"F","Female",210481
"2016-2017",01,"M","Male",220547
"2016-2017",02,"F","Female",48947
"2016-2017",02,"M","Male",52344
"2016-2017",03,"F","Female",26216
"2016-2017",03,"M","Male",27895
"2016-2017",04,"F","Female",588453
"2016-2017",04,"M","Male",619320
"2016-2017",05,"F","Female",39927
"2016-2017",05,"M","Male",42539
"2016-2017",06,"F","Female",94280
"2016-2017",06,"M","Male",99419
"2016-2017",07,"F","Female",82349
"2016-2017",07,"M","Male",87533
"2016-2017",08,"F","Female",29975
"2016-2017",08,"M","Male",31610
"2016-2017",09,"F","Female",18365
"2016-2017",09,"M","Male",19426
"2016-2017",10,"F","Female",413088
"2016-2017",10,"M","Male",431808
"2016-2017",11,"F","Female",285989
"2016-2017",11,"M","Male",301499
"2016-2017",12,"F","Female",84002
"2016-2017",12,"M","Male",89027
"2016-2017",13,"F","Female",188197
"2016-2017",13,"M","Male",199694
"2016-2017",14,"F","Female",29656
"2016-2017",14,"M","Male",30550
"2016-2017",15,"F","Female",24414
"2016-2017",15,"M","Male",25882
"2016-2017",16,"F","Female",42162
"2016-2017",16,"M","Male",44231
"2016-2017",17,"F","Female",41305
"2016-2017",17,"M","Male",43401
"2016-2017",18,"F","Female",42870
"2016-2017",18,"M","Male",45530
"2016-2017",19,"F","Female",87410
"2016-2017",19,"M","Male",91600
"2016-2017",20,"F","Female",232445
"2016-2017",20,"M","Male",244741

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

