"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2016-2017",01,"Early Education","Female",313
"2016-2017",01,"Early Education","Male",683
"2016-2017",01,"Pre-kindergarten","Female",12865
"2016-2017",01,"Pre-kindergarten","Male",13052
"2016-2017",01,"Kindergarten","Female",14144
"2016-2017",01,"Kindergarten","Male",14951
"2016-2017",01,"Grade  1","Female",15058
"2016-2017",01,"Grade  1","Male",15835
"2016-2017",01,"Grade  2","Female",15647
"2016-2017",01,"Grade  2","Male",16385
"2016-2017",01,"Grade  3","Female",15497
"2016-2017",01,"Grade  3","Male",16168
"2016-2017",01,"Grade  4","Female",15412
"2016-2017",01,"Grade  4","Male",15845
"2016-2017",01,"Grade  5","Female",14940
"2016-2017",01,"Grade  5","Male",15689
"2016-2017",01,"Grade  6","Female",15628
"2016-2017",01,"Grade  6","Male",16370
"2016-2017",01,"Grade  7","Female",15575
"2016-2017",01,"Grade  7","Male",16290
"2016-2017",01,"Grade  8","Female",15260
"2016-2017",01,"Grade  8","Male",16242
"2016-2017",01,"Grade  9","Female",17192
"2016-2017",01,"Grade  9","Male",18821
"2016-2017",01,"Grade 10","Female",15721
"2016-2017",01,"Grade 10","Male",16542
"2016-2017",01,"Grade 11","Female",14138
"2016-2017",01,"Grade 11","Male",14326
"2016-2017",01,"Grade 12","Female",13091
"2016-2017",01,"Grade 12","Male",13348
"2016-2017",02,"Early Education","Female",94
"2016-2017",02,"Early Education","Male",290
"2016-2017",02,"Pre-kindergarten","Female",1899
"2016-2017",02,"Pre-kindergarten","Male",1919
"2016-2017",02,"Kindergarten","Female",3394
"2016-2017",02,"Kindergarten","Male",3599
"2016-2017",02,"Grade  1","Female",3673
"2016-2017",02,"Grade  1","Male",3857
"2016-2017",02,"Grade  2","Female",3775
"2016-2017",02,"Grade  2","Male",3948
"2016-2017",02,"Grade  3","Female",3859
"2016-2017",02,"Grade  3","Male",3997
"2016-2017",02,"Grade  4","Female",3691
"2016-2017",02,"Grade  4","Male",4065
"2016-2017",02,"Grade  5","Female",3637
"2016-2017",02,"Grade  5","Male",4027
"2016-2017",02,"Grade  6","Female",3738
"2016-2017",02,"Grade  6","Male",3961
"2016-2017",02,"Grade  7","Female",3580
"2016-2017",02,"Grade  7","Male",3892
"2016-2017",02,"Grade  8","Female",3587
"2016-2017",02,"Grade  8","Male",3747
"2016-2017",02,"Grade  9","Female",3911
"2016-2017",02,"Grade  9","Male",4303
"2016-2017",02,"Grade 10","Female",3622
"2016-2017",02,"Grade 10","Male",3918
"2016-2017",02,"Grade 11","Female",3443
"2016-2017",02,"Grade 11","Male",3524
"2016-2017",02,"Grade 12","Female",3044
"2016-2017",02,"Grade 12","Male",3297
"2016-2017",03,"Early Education","Female",106
"2016-2017",03,"Early Education","Male",186
"2016-2017",03,"Pre-kindergarten","Female",1119
"2016-2017",03,"Pre-kindergarten","Male",1131
"2016-2017",03,"Kindergarten","Female",1796
"2016-2017",03,"Kindergarten","Male",1901
"2016-2017",03,"Grade  1","Female",1959
"2016-2017",03,"Grade  1","Male",2083
"2016-2017",03,"Grade  2","Female",1962
"2016-2017",03,"Grade  2","Male",2065
"2016-2017",03,"Grade  3","Female",1981
"2016-2017",03,"Grade  3","Male",2224
"2016-2017",03,"Grade  4","Female",2039
"2016-2017",03,"Grade  4","Male",2185
"2016-2017",03,"Grade  5","Female",1948
"2016-2017",03,"Grade  5","Male",2064
"2016-2017",03,"Grade  6","Female",1947
"2016-2017",03,"Grade  6","Male",2029
"2016-2017",03,"Grade  7","Female",1874
"2016-2017",03,"Grade  7","Male",1985
"2016-2017",03,"Grade  8","Female",1989
"2016-2017",03,"Grade  8","Male",1985
"2016-2017",03,"Grade  9","Female",2068
"2016-2017",03,"Grade  9","Male",2409
"2016-2017",03,"Grade 10","Female",1917
"2016-2017",03,"Grade 10","Male",2114
"2016-2017",03,"Grade 11","Female",1788
"2016-2017",03,"Grade 11","Male",1860
"2016-2017",03,"Grade 12","Female",1723
"2016-2017",03,"Grade 12","Male",1674
"2016-2017",04,"Early Education","Female",1598
"2016-2017",04,"Early Education","Male",3718
"2016-2017",04,"Pre-kindergarten","Female",25551
"2016-2017",04,"Pre-kindergarten","Male",25392
"2016-2017",04,"Kindergarten","Female",40942
"2016-2017",04,"Kindergarten","Male",42809
"2016-2017",04,"Grade  1","Female",44090
"2016-2017",04,"Grade  1","Male",46748
"2016-2017",04,"Grade  2","Female",46230
"2016-2017",04,"Grade  2","Male",48179
"2016-2017",04,"Grade  3","Female",45396
"2016-2017",04,"Grade  3","Male",48209
"2016-2017",04,"Grade  4","Female",45338
"2016-2017",04,"Grade  4","Male",47550
"2016-2017",04,"Grade  5","Female",43910
"2016-2017",04,"Grade  5","Male",45721
"2016-2017",04,"Grade  6","Female",43032
"2016-2017",04,"Grade  6","Male",45582
"2016-2017",04,"Grade  7","Female",43181
"2016-2017",04,"Grade  7","Male",45375
