"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2016-2017",01,01,"Early Education",996
"2016-2017",01,02,"Pre-kindergarten",25917
"2016-2017",01,03,"Kindergarten",29095
"2016-2017",01,04,"Grade  1",30893
"2016-2017",01,05,"Grade  2",32032
"2016-2017",01,06,"Grade  3",31665
"2016-2017",01,07,"Grade  4",31257
"2016-2017",01,08,"Grade  5",30629
"2016-2017",01,09,"Grade  6",31998
"2016-2017",01,10,"Grade  7",31865
"2016-2017",01,11,"Grade  8",31502
"2016-2017",01,12,"Grade  9",36013
"2016-2017",01,13,"Grade 10",32263
"2016-2017",01,14,"Grade 11",28464
"2016-2017",01,15,"Grade 12",26439
"2016-2017",02,01,"Early Education",384
"2016-2017",02,02,"Pre-kindergarten",3818
"2016-2017",02,03,"Kindergarten",6993
"2016-2017",02,04,"Grade  1",7530
"2016-2017",02,05,"Grade  2",7723
"2016-2017",02,06,"Grade  3",7856
"2016-2017",02,07,"Grade  4",7756
"2016-2017",02,08,"Grade  5",7664
"2016-2017",02,09,"Grade  6",7699
"2016-2017",02,10,"Grade  7",7472
"2016-2017",02,11,"Grade  8",7334
"2016-2017",02,12,"Grade  9",8214
"2016-2017",02,13,"Grade 10",7540
"2016-2017",02,14,"Grade 11",6967
"2016-2017",02,15,"Grade 12",6341
"2016-2017",03,01,"Early Education",292
"2016-2017",03,02,"Pre-kindergarten",2250
"2016-2017",03,03,"Kindergarten",3697
"2016-2017",03,04,"Grade  1",4042
"2016-2017",03,05,"Grade  2",4027
"2016-2017",03,06,"Grade  3",4205
"2016-2017",03,07,"Grade  4",4224
"2016-2017",03,08,"Grade  5",4012
"2016-2017",03,09,"Grade  6",3976
"2016-2017",03,10,"Grade  7",3859
"2016-2017",03,11,"Grade  8",3974
"2016-2017",03,12,"Grade  9",4477
"2016-2017",03,13,"Grade 10",4031
"2016-2017",03,14,"Grade 11",3648
"2016-2017",03,15,"Grade 12",3397
"2016-2017",04,01,"Early Education",5316
"2016-2017",04,02,"Pre-kindergarten",50943
"2016-2017",04,03,"Kindergarten",83751
"2016-2017",04,04,"Grade  1",90838
"2016-2017",04,05,"Grade  2",94409
"2016-2017",04,06,"Grade  3",93605
"2016-2017",04,07,"Grade  4",92888
"2016-2017",04,08,"Grade  5",89631
"2016-2017",04,09,"Grade  6",88614
"2016-2017",04,10,"Grade  7",88556
"2016-2017",04,11,"Grade  8",88059
"2016-2017",04,12,"Grade  9",97576
"2016-2017",04,13,"Grade 10",87360
"2016-2017",04,14,"Grade 11",81551
"2016-2017",04,15,"Grade 12",74676
"2016-2017",05,01,"Early Education",514
"2016-2017",05,02,"Pre-kindergarten",3828
"2016-2017",05,03,"Kindergarten",5946
"2016-2017",05,04,"Grade  1",6435
"2016-2017",05,05,"Grade  2",6478
"2016-2017",05,06,"Grade  3",6437
"2016-2017",05,07,"Grade  4",6267
"2016-2017",05,08,"Grade  5",6084
"2016-2017",05,09,"Grade  6",6002
"2016-2017",05,10,"Grade  7",5904
"2016-2017",05,11,"Grade  8",5792
"2016-2017",05,12,"Grade  9",6275
"2016-2017",05,13,"Grade 10",5811
"2016-2017",05,14,"Grade 11",5491
"2016-2017",05,15,"Grade 12",5202
"2016-2017",06,01,"Early Education",886
"2016-2017",06,02,"Pre-kindergarten",6434
"2016-2017",06,03,"Kindergarten",13402
"2016-2017",06,04,"Grade  1",14588
"2016-2017",06,05,"Grade  2",14933
"2016-2017",06,06,"Grade  3",15028
"2016-2017",06,07,"Grade  4",14913
"2016-2017",06,08,"Grade  5",14451
"2016-2017",06,09,"Grade  6",14500
"2016-2017",06,10,"Grade  7",14429
"2016-2017",06,11,"Grade  8",14487
"2016-2017",06,12,"Grade  9",15430
"2016-2017",06,13,"Grade 10",14761
"2016-2017",06,14,"Grade 11",13427
"2016-2017",06,15,"Grade 12",12030
"2016-2017",07,01,"Early Education",489
"2016-2017",07,02,"Pre-kindergarten",7596
"2016-2017",07,03,"Kindergarten",12122
"2016-2017",07,04,"Grade  1",12781
"2016-2017",07,05,"Grade  2",12837
"2016-2017",07,06,"Grade  3",12910
"2016-2017",07,07,"Grade  4",13206
"2016-2017",07,08,"Grade  5",12625
"2016-2017",07,09,"Grade  6",12799
"2016-2017",07,10,"Grade  7",12445
"2016-2017",07,11,"Grade  8",12389
"2016-2017",07,12,"Grade  9",13245
"2016-2017",07,13,"Grade 10",12346
"2016-2017",07,14,"Grade 11",11571
"2016-2017",07,15,"Grade 12",10521
"2016-2017",08,01,"Early Education",272
"2016-2017",08,02,"Pre-kindergarten",3751
"2016-2017",08,03,"Kindergarten",4445
"2016-2017",08,04,"Grade  1",4508
"2016-2017",08,05,"Grade  2",4593
"2016-2017",08,06,"Grade  3",4726
"2016-2017",08,07,"Grade  4",4610
"2016-2017",08,08,"Grade  5",4452
"2016-2017",08,09,"Grade  6",4433
"2016-2017",08,10,"Grade  7",4430
"2016-2017",08,11,"Grade  8",4325
"2016-2017",08,12,"Grade  9",4633
"2016-2017",08,13,"Grade 10",4393
"2016-2017",08,14,"Grade 11",4096
"2016-2017",08,15,"Grade 12",3918
"2016-2017",09,01,"Early Education",176
"2016-2017",09,02,"Pre-kindergarten",2087
"2016-2017",09,03,"Kindergarten",2652
"2016-2017",09,04,"Grade  1",2833
"2016-2017",09,05,"Grade  2",2870
"2016-2017",09,06,"Grade  3",2929
"2016-2017",09,07,"Grade  4",2797
"2016-2017",09,08,"Grade  5",2837
"2016-2017",09,09,"Grade  6",2726
"2016-2017",09,10,"Grade  7",2743
"2016-2017",09,11,"Grade  8",2646
"2016-2017",09,12,"Grade  9",2851
"2016-2017",09,13,"Grade 10",2658
"2016-2017",09,14,"Grade 11",2598
"2016-2017",09,15,"Grade 12",2388
"2016-2017",10,01,"Early Education",3965
"2016-2017",10,02,"Pre-kindergarten",31339
"2016-2017",10,03,"Kindergarten",58818
"2016-2017",10,04,"Grade  1",62063
"2016-2017",10,05,"Grade  2",64692
"2016-2017",10,06,"Grade  3",66095
"2016-2017",10,07,"Grade  4",65872
"2016-2017",10,08,"Grade  5",64289
"2016-2017",10,09,"Grade  6",63575
"2016-2017",10,10,"Grade  7",62706
"2016-2017",10,11,"Grade  8",61630
"2016-2017",10,12,"Grade  9",67781
"2016-2017",10,13,"Grade 10",62692
"2016-2017",10,14,"Grade 11",57841
"2016-2017",10,15,"Grade 12",51538
"2016-2017",11,01,"Early Education",2418
"2016-2017",11,02,"Pre-kindergarten",20548
"2016-2017",11,03,"Kindergarten",40058
"2016-2017",11,04,"Grade  1",41930
"2016-2017",11,05,"Grade  2",43594
"2016-2017",11,06,"Grade  3",44520
"2016-2017",11,07,"Grade  4",44605
"2016-2017",11,08,"Grade  5",44287
"2016-2017",11,09,"Grade  6",43608
"2016-2017",11,10,"Grade  7",43520
"2016-2017",11,11,"Grade  8",43457
"2016-2017",11,12,"Grade  9",49122
"2016-2017",11,13,"Grade 10",45390
"2016-2017",11,14,"Grade 11",42198
"2016-2017",11,15,"Grade 12",38233
"2016-2017",12,01,"Early Education",541
"2016-2017",12,02,"Pre-kindergarten",8784
"2016-2017",12,03,"Kindergarten",12493
"2016-2017",12,04,"Grade  1",13345
"2016-2017",12,05,"Grade  2",13469
"2016-2017",12,06,"Grade  3",13427
"2016-2017",12,07,"Grade  4",13395
"2016-2017",12,08,"Grade  5",12913
"2016-2017",12,09,"Grade  6",12832
"2016-2017",12,10,"Grade  7",12508
"2016-2017",12,11,"Grade  8",12707
"2016-2017",12,12,"Grade  9",13448
"2016-2017",12,13,"Grade 10",12214
"2016-2017",12,14,"Grade 11",10956
"2016-2017",12,15,"Grade 12",9997
"2016-2017",13,01,"Early Education",1989
