"Year","Grade Level Name","Ethnicity Name","Ethnicity Count"
"2016-2017","Early Education","Black or African American",2544
"2016-2017","Early Education","American Indian or Alaska Native",110
"2016-2017","Early Education","Asian",1181
"2016-2017","Early Education","Hispanic",10560
"2016-2017","Early Education","Native Hawaiian/Other or Pacific Islander",26
"2016-2017","Early Education","Two or More Races",657
"2016-2017","Early Education","White",8170
"2016-2017","Early Education","Total All Ethnicities",23248
"2016-2017","Pre-kindergarten","Black or African American",33429
"2016-2017","Pre-kindergarten","American Indian or Alaska Native",832
"2016-2017","Pre-kindergarten","Asian",8054
"2016-2017","Pre-kindergarten","Hispanic",144570
"2016-2017","Pre-kindergarten","Native Hawaiian/Other or Pacific Islander",310
"2016-2017","Pre-kindergarten","Two or More Races",4309
"2016-2017","Pre-kindergarten","White",33306
"2016-2017","Pre-kindergarten","Total All Ethnicities",224810
"2016-2017","Kindergarten","Black or African American",44993
"2016-2017","Kindergarten","American Indian or Alaska Native",1350
"2016-2017","Kindergarten","Asian",16281
"2016-2017","Kindergarten","Hispanic",192572
"2016-2017","Kindergarten","Native Hawaiian/Other or Pacific Islander",560
"2016-2017","Kindergarten","Two or More Races",9890
"2016-2017","Kindergarten","White",106365
"2016-2017","Kindergarten","Total All Ethnicities",372011
"2016-2017","Grade  1","Black or African American",48959
"2016-2017","Grade  1","American Indian or Alaska Native",2104
"2016-2017","Grade  1","Asian",16919
"2016-2017","Grade  1","Hispanic",206223
"2016-2017","Grade  1","Native Hawaiian/Other or Pacific Islander",605
"2016-2017","Grade  1","Two or More Races",9990
"2016-2017","Grade  1","White",111005
"2016-2017","Grade  1","Total All Ethnicities",395805
"2016-2017","Grade  2","Black or African American",50856
"2016-2017","Grade  2","American Indian or Alaska Native",1801
"2016-2017","Grade  2","Asian",17036
"2016-2017","Grade  2","Hispanic",216190
"2016-2017","Grade  2","Native Hawaiian/Other or Pacific Islander",586
"2016-2017","Grade  2","Two or More Races",9920
"2016-2017","Grade  2","White",112428
"2016-2017","Grade  2","Total All Ethnicities",408817
"2016-2017","Grade  3","Black or African American",51123
"2016-2017","Grade  3","American Indian or Alaska Native",1594
"2016-2017","Grade  3","Asian",17696
"2016-2017","Grade  3","Hispanic",218233
"2016-2017","Grade  3","Native Hawaiian/Other or Pacific Islander",565
"2016-2017","Grade  3","Two or More Races",9838
"2016-2017","Grade  3","White",113710
"2016-2017","Grade  3","Total All Ethnicities",412759
"2016-2017","Grade  4","Black or African American",51537
"2016-2017","Grade  4","American Indian or Alaska Native",1504
"2016-2017","Grade  4","Asian",16999
"2016-2017","Grade  4","Hispanic",216785
"2016-2017","Grade  4","Native Hawaiian/Other or Pacific Islander",598
"2016-2017","Grade  4","Two or More Races",9442
"2016-2017","Grade  4","White",114230
"2016-2017","Grade  4","Total All Ethnicities",411095
"2016-2017","Grade  5","Black or African American",50369
"2016-2017","Grade  5","American Indian or Alaska Native",1491
"2016-2017","Grade  5","Asian",16775
"2016-2017","Grade  5","Hispanic",210288
"2016-2017","Grade  5","Native Hawaiian/Other or Pacific Islander",572
"2016-2017","Grade  5","Two or More Races",8901
"2016-2017","Grade  5","White",111769
"2016-2017","Grade  5","Total All Ethnicities",400165
"2016-2017","Grade  6","Black or African American",49651
"2016-2017","Grade  6","American Indian or Alaska Native",1439
"2016-2017","Grade  6","Asian",16865
"2016-2017","Grade  6","Hispanic",208603
"2016-2017","Grade  6","Native Hawaiian/Other or Pacific Islander",535
"2016-2017","Grade  6","Two or More Races",8450
"2016-2017","Grade  6","White",112612
"2016-2017","Grade  6","Total All Ethnicities",398155
"2016-2017","Grade  7","Black or African American",49384
"2016-2017","Grade  7","American Indian or Alaska Native",1355
"2016-2017","Grade  7","Asian",16912
"2016-2017","Grade  7","Hispanic",206617
"2016-2017","Grade  7","Native Hawaiian/Other or Pacific Islander",527
"2016-2017","Grade  7","Two or More Races",8334
"2016-2017","Grade  7","White",112988
"2016-2017","Grade  7","Total All Ethnicities",396117
"2016-2017","Grade  8","Black or African American",48787
"2016-2017","Grade  8","American Indian or Alaska Native",1453
"2016-2017","Grade  8","Asian",16765
"2016-2017","Grade  8","Hispanic",203332
"2016-2017","Grade  8","Native Hawaiian/Other or Pacific Islander",550
"2016-2017","Grade  8","Two or More Races",7806
"2016-2017","Grade  8","White",113673
"2016-2017","Grade  8","Total All Ethnicities",392366
"2016-2017","Grade  9","Black or African American",56025
"2016-2017","Grade  9","American Indian or Alaska Native",1625
"2016-2017","Grade  9","Asian",16994
"2016-2017","Grade  9","Hispanic",227208
"2016-2017","Grade  9","Native Hawaiian/Other or Pacific Islander",604
"2016-2017","Grade  9","Two or More Races",7995
"2016-2017","Grade  9","White",121294
"2016-2017","Grade  9","Total All Ethnicities",431745
"2016-2017","Grade 10","Black or African American",49657
"2016-2017","Grade 10","American Indian or Alaska Native",1515
"2016-2017","Grade 10","Asian",16710
"2016-2017","Grade 10","Hispanic",203515
"2016-2017","Grade 10","Native Hawaiian/Other or Pacific Islander",580
"2016-2017","Grade 10","Two or More Races",7372
"2016-2017","Grade 10","White",115985
"2016-2017","Grade 10","Total All Ethnicities",395334
"2016-2017","Grade 11","Black or African American",45993
"2016-2017","Grade 11","American Indian or Alaska Native",1342
"2016-2017","Grade 11","Asian",15817
"2016-2017","Grade 11","Hispanic",181279
"2016-2017","Grade 11","Native Hawaiian/Other or Pacific Islander",534
"2016-2017","Grade 11","Two or More Races",6746
"2016-2017","Grade 11","White",112222
"2016-2017","Grade 11","Total All Ethnicities",363933
"2016-2017","Grade 12","Black or African American",41411
"2016-2017","Grade 12","American Indian or Alaska Native",1252
"2016-2017","Grade 12","Asian",14290
"2016-2017","Grade 12","Hispanic",163411
"2016-2017","Grade 12","Native Hawaiian/Other or Pacific Islander",548
"2016-2017","Grade 12","Two or More Races",6257
"2016-2017","Grade 12","White",105598
"2016-2017","Grade 12","Total All Ethnicities",332767
"2016-2017","Total All Grade Levels","Total All Ethnicities",5359127

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

