"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Gender Name","Enrollment by Gender"
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"21ST CENTURY EARLY LEARNING FOUNDA",108913118,"ELEMENTARY","Female",172
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"21ST CENTURY EARLY LEARNING FOUNDA",108913118,"ELEMENTARY","Male",159
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"3D ACADEMY",108902006,"HIGH SCHOOL","Female",52
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"3D ACADEMY",108902006,"HIGH SCHOOL","Male",90
"2017-2018",10,"HUNT COUNTY","GREENVILLE ISD",116905,"6TH GRADE CENTER",116905108,"MIDDLE SCHOOL","Female",160
"2017-2018",10,"HUNT COUNTY","GREENVILLE ISD",116905,"6TH GRADE CENTER",116905108,"MIDDLE SCHOOL","Male",210
"2017-2018",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONS H S",021901001,"HIGH SCHOOL","Female",839
"2017-2018",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONS H S",021901001,"HIGH SCHOOL","Male",874
"2017-2018",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONSOLIDATED MIDDLE",021901042,"JUNIOR HIGH SCHOOL","Female",457
"2017-2018",06,"BRAZOS COUNTY","COLLEGE STATION ISD",021901,"A & M CONSOLIDATED MIDDLE",021901042,"JUNIOR HIGH SCHOOL","Male",454
"2017-2018",17,"FLOYD COUNTY","FLOYDADA ISD",077901,"A B DUNCAN EL",077901101,"ELEMENTARY","Female",215
"2017-2018",17,"FLOYD COUNTY","FLOYDADA ISD",077901,"A B DUNCAN EL",077901101,"ELEMENTARY","Male",246
"2017-2018",12,"LIMESTONE COUNTY","MEXIA ISD",147903,"A B MCBAY EL",147903103,"ELEMENTARY","Female",223
"2017-2018",12,"LIMESTONE COUNTY","MEXIA ISD",147903,"A B MCBAY EL",147903103,"ELEMENTARY","Male",240
"2017-2018",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"A C BLUNT MIDDLE",205901041,"MIDDLE SCHOOL","Female",199
"2017-2018",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"A C BLUNT MIDDLE",205901041,"MIDDLE SCHOOL","Male",149
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"A C JONES H S",013901001,"HIGH SCHOOL","Female",502
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"A C JONES H S",013901001,"HIGH SCHOOL","Male",531
