"Year","Region","County Name","Gender Name","Enrollment by Gender"
"2017-2018",07,"ANDERSON COUNTY","Female",4018
"2017-2018",07,"ANDERSON COUNTY","Male",4424
"2017-2018",18,"ANDREWS COUNTY","Female",1955
"2017-2018",18,"ANDREWS COUNTY","Male",2111
"2017-2018",07,"ANGELINA COUNTY","Female",8540
"2017-2018",07,"ANGELINA COUNTY","Male",8872
"2017-2018",02,"ARANSAS COUNTY","Female",1250
"2017-2018",02,"ARANSAS COUNTY","Male",1297
"2017-2018",09,"ARCHER COUNTY","Female",918
"2017-2018",09,"ARCHER COUNTY","Male",991
"2017-2018",16,"ARMSTRONG COUNTY","Female",184
"2017-2018",16,"ARMSTRONG COUNTY","Male",188
"2017-2018",20,"ATASCOSA COUNTY","Female",4445
"2017-2018",20,"ATASCOSA COUNTY","Male",4693
"2017-2018",06,"AUSTIN COUNTY","Female",2864
"2017-2018",06,"AUSTIN COUNTY","Male",3036
"2017-2018",17,"BAILEY COUNTY","Female",697
"2017-2018",17,"BAILEY COUNTY","Male",744
"2017-2018",20,"BANDERA COUNTY","Female",1278
"2017-2018",20,"BANDERA COUNTY","Male",1327
"2017-2018",13,"BASTROP COUNTY","Female",8366
"2017-2018",13,"BASTROP COUNTY","Male",8967
"2017-2018",09,"BAYLOR COUNTY","Female",266
"2017-2018",09,"BAYLOR COUNTY","Male",313
"2017-2018",02,"BEE COUNTY","Female",2626
"2017-2018",02,"BEE COUNTY","Male",2712
"2017-2018",12,"BELL COUNTY/12","Female",36057
"2017-2018",12,"BELL COUNTY/12","Male",37535
"2017-2018",13,"BELL COUNTY/13","Female",153
"2017-2018",13,"BELL COUNTY/13","Male",189
"2017-2018",20,"BELL COUNTY/20","Female",1120
"2017-2018",20,"BELL COUNTY/20","Male",1104
"2017-2018","AL","BELL COUNTY/ALL","Female",37330
"2017-2018","AL","BELL COUNTY/ALL","Male",38828
"2017-2018",20,"BEXAR COUNTY","Female",172889
"2017-2018",20,"BEXAR COUNTY","Male",181939
"2017-2018",13,"BLANCO COUNTY","Female",803
"2017-2018",13,"BLANCO COUNTY","Male",887
"2017-2018",17,"BORDEN COUNTY","Female",113
