"Year","Region","County Name","Grade Level Name","Gender Name","Gender Count"
"2017-2018",07,"ANDERSON COUNTY","Early Education","Female",-9999999
"2017-2018",07,"ANDERSON COUNTY","Early Education","Male",10
"2017-2018",07,"ANDERSON COUNTY","Pre-kindergarten","Female",214
"2017-2018",07,"ANDERSON COUNTY","Pre-kindergarten","Male",208
"2017-2018",07,"ANDERSON COUNTY","Kindergarten","Female",263
"2017-2018",07,"ANDERSON COUNTY","Kindergarten","Male",320
"2017-2018",07,"ANDERSON COUNTY","Grade  1","Female",294
"2017-2018",07,"ANDERSON COUNTY","Grade  1","Male",349
"2017-2018",07,"ANDERSON COUNTY","Grade  2","Female",290
"2017-2018",07,"ANDERSON COUNTY","Grade  2","Male",291
"2017-2018",07,"ANDERSON COUNTY","Grade  3","Female",318
"2017-2018",07,"ANDERSON COUNTY","Grade  3","Male",341
"2017-2018",07,"ANDERSON COUNTY","Grade  4","Female",316
"2017-2018",07,"ANDERSON COUNTY","Grade  4","Male",303
"2017-2018",07,"ANDERSON COUNTY","Grade  5","Female",279
"2017-2018",07,"ANDERSON COUNTY","Grade  5","Male",309
"2017-2018",07,"ANDERSON COUNTY","Grade  6","Female",295
"2017-2018",07,"ANDERSON COUNTY","Grade  6","Male",318
"2017-2018",07,"ANDERSON COUNTY","Grade  7","Female",300
"2017-2018",07,"ANDERSON COUNTY","Grade  7","Male",352
"2017-2018",07,"ANDERSON COUNTY","Grade  8","Female",321
"2017-2018",07,"ANDERSON COUNTY","Grade  8","Male",340
"2017-2018",07,"ANDERSON COUNTY","Grade  9","Female",278
"2017-2018",07,"ANDERSON COUNTY","Grade  9","Male",393
"2017-2018",07,"ANDERSON COUNTY","Grade 10","Female",306
"2017-2018",07,"ANDERSON COUNTY","Grade 10","Male",338
"2017-2018",07,"ANDERSON COUNTY","Grade 11","Female",281
"2017-2018",07,"ANDERSON COUNTY","Grade 11","Male",282
"2017-2018",07,"ANDERSON COUNTY","Grade 12","Female",262
"2017-2018",07,"ANDERSON COUNTY","Grade 12","Male",270
"2017-2018",18,"ANDREWS COUNTY","Early Education","Female",5
"2017-2018",18,"ANDREWS COUNTY","Early Education","Male",9
"2017-2018",18,"ANDREWS COUNTY","Pre-kindergarten","Female",69
"2017-2018",18,"ANDREWS COUNTY","Pre-kindergarten","Male",71
"2017-2018",18,"ANDREWS COUNTY","Kindergarten","Female",157
"2017-2018",18,"ANDREWS COUNTY","Kindergarten","Male",171
"2017-2018",18,"ANDREWS COUNTY","Grade  1","Female",157
"2017-2018",18,"ANDREWS COUNTY","Grade  1","Male",146
"2017-2018",18,"ANDREWS COUNTY","Grade  2","Female",146
"2017-2018",18,"ANDREWS COUNTY","Grade  2","Male",150
"2017-2018",18,"ANDREWS COUNTY","Grade  3","Female",149
"2017-2018",18,"ANDREWS COUNTY","Grade  3","Male",165
"2017-2018",18,"ANDREWS COUNTY","Grade  4","Female",143
"2017-2018",18,"ANDREWS COUNTY","Grade  4","Male",151
"2017-2018",18,"ANDREWS COUNTY","Grade  5","Female",165
"2017-2018",18,"ANDREWS COUNTY","Grade  5","Male",189
"2017-2018",18,"ANDREWS COUNTY","Grade  6","Female",133
