"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Female",1098
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Male",1046
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Female",687
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Male",661
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Female",61
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Male",94
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Female",145
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Male",145
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Female",373
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Male",394
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Female",8248
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Male",8594
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Female",103
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Male",418
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Female",737
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Male",822
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Female",374
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Male",341
"2017-2018",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Female",206
"2017-2018",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Male",226
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Female",154
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Male",115
"2017-2018",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Female",68
"2017-2018",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Male",52
"2017-2018",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Female",820
"2017-2018",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Male",846
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Female",165
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Male",173
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Female",2362
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Male",2448
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Female",431
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Male",454
"2017-2018",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Female",243
"2017-2018",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Male",265
"2017-2018",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Female",33075
"2017-2018",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Male",34256
"2017-2018",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Female",2719
"2017-2018",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Male",2999
"2017-2018",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Female",2455
"2017-2018",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Male",2618
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Female",22146
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Male",24117
"2017-2018",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Female",152
"2017-2018",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Male",133
"2017-2018",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Female",10368
"2017-2018",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Male",10791
"2017-2018",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Female",498
"2017-2018",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Male",596
"2017-2018",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Female",312
"2017-2018",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Male",359
"2017-2018",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Female",1742
"2017-2018",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Male",1987
"2017-2018",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Female",11996
"2017-2018",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Male",12856
"2017-2018",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Female",338
"2017-2018",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Male",371
"2017-2018",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Female",16166
"2017-2018",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Male",16902
"2017-2018",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Female",174
"2017-2018",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Male",134
"2017-2018",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Female",78
"2017-2018",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Male",87
"2017-2018",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Female",271
"2017-2018",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Male",242
"2017-2018",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Female",660
"2017-2018",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Male",678
"2017-2018",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Female",406
"2017-2018",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Male",454
"2017-2018",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Female",1955
"2017-2018",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Male",2111
"2017-2018",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Female",3281
"2017-2018",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Male",3586
"2017-2018",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Female",1668
"2017-2018",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Male",1791
"2017-2018",14,"JONES COUNTY","ANSON ISD",127901,"TRADITIONAL ISD/CSD","Female",368
"2017-2018",14,"JONES COUNTY","ANSON ISD",127901,"TRADITIONAL ISD/CSD","Male",403
"2017-2018",19,"EL PASO COUNTY","ANTHONY ISD",071906,"TRADITIONAL ISD/CSD","Female",401
"2017-2018",19,"EL PASO COUNTY","ANTHONY ISD",071906,"TRADITIONAL ISD/CSD","Male",438
"2017-2018",17,"HOCKLEY COUNTY","ANTON ISD",110901,"TRADITIONAL ISD/CSD","Female",122
"2017-2018",17,"HOCKLEY COUNTY","ANTON ISD",110901,"TRADITIONAL ISD/CSD","Male",113
"2017-2018",06,"TRINITY COUNTY","APPLE SPRINGS ISD",228905,"TRADITIONAL ISD/CSD","Female",97
"2017-2018",06,"TRINITY COUNTY","APPLE SPRINGS ISD",228905,"TRADITIONAL ISD/CSD","Male",102
"2017-2018",12,"HILL COUNTY","AQUILLA ISD",109912,"TRADITIONAL ISD/CSD","Female",161
"2017-2018",12,"HILL COUNTY","AQUILLA ISD",109912,"TRADITIONAL ISD/CSD","Male",161
"2017-2018",02,"ARANSAS COUNTY","ARANSAS COUNTY ISD",004901,"TRADITIONAL ISD/CSD","Female",1250
"2017-2018",02,"ARANSAS COUNTY","ARANSAS COUNTY ISD",004901,"TRADITIONAL ISD/CSD","Male",1297
"2017-2018",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"TRADITIONAL ISD/CSD","Female",732
"2017-2018",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"TRADITIONAL ISD/CSD","Male",742
"2017-2018",09,"ARCHER COUNTY","ARCHER CITY ISD",005901,"TRADITIONAL ISD/CSD","Female",232
"2017-2018",09,"ARCHER COUNTY","ARCHER CITY ISD",005901,"TRADITIONAL ISD/CSD","Male",242
"2017-2018",11,"DENTON COUNTY","ARGYLE ISD",061910,"TRADITIONAL ISD/CSD","Female",1244
"2017-2018",11,"DENTON COUNTY","ARGYLE ISD",061910,"TRADITIONAL ISD/CSD","Male",1472
"2017-2018",04,"HARRIS COUNTY","ARISTOI CLASSICAL ACADEMY",101803,"OPEN ENROLLMENT CHARTER","Female",422
"2017-2018",04,"HARRIS COUNTY","ARISTOI CLASSICAL ACADEMY",101803,"OPEN ENROLLMENT CHARTER","Male",434
"2017-2018",11,"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY",220802,"OPEN ENROLLMENT CHARTER","Female",795
"2017-2018",11,"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY",220802,"OPEN ENROLLMENT CHARTER","Male",738
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"TRADITIONAL ISD/CSD","Female",29549
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"TRADITIONAL ISD/CSD","Male",31527
"2017-2018",07,"SMITH COUNTY","ARP ISD",212901,"TRADITIONAL ISD/CSD","Female",416
"2017-2018",07,"SMITH COUNTY","ARP ISD",212901,"TRADITIONAL ISD/CSD","Male",484
"2017-2018",06,"BRAZOS COUNTY","ARROW ACADEMY",021805,"OPEN ENROLLMENT CHARTER","Female",297
"2017-2018",06,"BRAZOS COUNTY","ARROW ACADEMY",021805,"OPEN ENROLLMENT CHARTER","Male",324
"2017-2018",14,"STONEWALL COUNTY","ASPERMONT ISD",217901,"TRADITIONAL ISD/CSD","Female",110
"2017-2018",14,"STONEWALL COUNTY","ASPERMONT ISD",217901,"TRADITIONAL ISD/CSD","Male",117
