"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Gender Name","Gender Count"
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",275
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",264
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",109
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",113
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  1","Female",129
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  1","Male",102
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  2","Female",98
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  2","Male",109
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  3","Female",108
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  3","Male",100
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  4","Female",94
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  4","Male",102
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  5","Female",96
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  5","Male",81
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  6","Female",71
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  6","Male",70
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  7","Female",60
