"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Enrollment by Grade Level"
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",539
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Kindergarten",222
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  1",231
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  2",207
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  3",208
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  4",196
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  5",177
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  6",141
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  7",107
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"OPEN ENROLLMENT CHARTER","Grade  8",116
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",103
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten",85
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1",80
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2",101
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3",99
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4",110
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5",108
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6",108
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7",106
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8",106
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9",103
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10",93
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11",76
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12",70
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6",63
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7",58
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8",34
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education",-9999999
