"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CAMPUS","CAMPUS NAME","GENDER","GRADE GROUP NAME","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902001,"CAYUGA H S","FEMALE","HIGH SCHOOL",76
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902001,"CAYUGA H S","MALE","HIGH SCHOOL",103
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902041,"CAYUGA MIDDLE","FEMALE","MIDDLE SCHOOL",52
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902041,"CAYUGA MIDDLE","MALE","MIDDLE SCHOOL",67
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902103,"CAYUGA EL","FEMALE","ELEMENTARY",122
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD",001902103,"CAYUGA EL","MALE","ELEMENTARY",144
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903001,"ELKHART H S","FEMALE","HIGH SCHOOL",179
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903001,"ELKHART H S","MALE","HIGH SCHOOL",197
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903002,"ELKHART DAEP","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903041,"ELKHART MIDDLE","FEMALE","MIDDLE SCHOOL",-999
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903041,"ELKHART MIDDLE","MALE","MIDDLE SCHOOL",-999
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903101,"ELKHART EL","FEMALE","ELEMENTARY",158
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903101,"ELKHART EL","MALE","ELEMENTARY",181
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903102,"ELKHART INT","FEMALE","ELEMENTARY",131
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD",001903102,"ELKHART INT","MALE","ELEMENTARY",146
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904001,"FRANKSTON H S","FEMALE","HIGH SCHOOL",98
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904001,"FRANKSTON H S","MALE","HIGH SCHOOL",130
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904041,"FRANKSTON MIDDLE","FEMALE","MIDDLE SCHOOL",95
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904041,"FRANKSTON MIDDLE","MALE","MIDDLE SCHOOL",99
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904102,"FRANKSTON EL","FEMALE","ELEMENTARY",181
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD",001904102,"FRANKSTON EL","MALE","ELEMENTARY",201
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD",001906002,"NECHES H S","FEMALE","HIGH SCHOOL",60
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD",001906002,"NECHES H S","MALE","HIGH SCHOOL",47
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD",001906102,"NECHES EL","FEMALE","ELEMENTARY",132
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD",001906102,"NECHES EL","MALE","ELEMENTARY",127
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907001,"PALESTINE H S","FEMALE","HIGH SCHOOL",467
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907001,"PALESTINE H S","MALE","HIGH SCHOOL",517
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907041,"PALESTINE J H","FEMALE","JUNIOR HIGH SCHOOL",243
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907041,"PALESTINE J H","MALE","JUNIOR HIGH SCHOOL",276
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907101,"NORTHSIDE PRI","FEMALE","ELEMENTARY",226
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907101,"NORTHSIDE PRI","MALE","ELEMENTARY",268
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907102,"WASHINGTON EARLY CHILDHOOD CENTER","FEMALE","ELEMENTARY",80
