"YEAR","REGION","COUNTY NAME","GENDER","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY","FEMALE",3941
"2018-2019",07,"ANDERSON COUNTY","MALE",4365
"2018-2019",18,"ANDREWS COUNTY","FEMALE",2090
"2018-2019",18,"ANDREWS COUNTY","MALE",2229
"2018-2019",07,"ANGELINA COUNTY","FEMALE",8425
"2018-2019",07,"ANGELINA COUNTY","MALE",8782
"2018-2019",02,"ARANSAS COUNTY","FEMALE",1375
"2018-2019",02,"ARANSAS COUNTY","MALE",1454
"2018-2019",09,"ARCHER COUNTY","FEMALE",951
"2018-2019",09,"ARCHER COUNTY","MALE",1005
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE",173
"2018-2019",16,"ARMSTRONG COUNTY","MALE",186
"2018-2019",20,"ATASCOSA COUNTY","FEMALE",4402
"2018-2019",20,"ATASCOSA COUNTY","MALE",4669
"2018-2019",06,"AUSTIN COUNTY","FEMALE",2878
"2018-2019",06,"AUSTIN COUNTY","MALE",2990
"2018-2019",17,"BAILEY COUNTY","FEMALE",679
"2018-2019",17,"BAILEY COUNTY","MALE",738
"2018-2019",20,"BANDERA COUNTY","FEMALE",1226
"2018-2019",20,"BANDERA COUNTY","MALE",1314
"2018-2019",13,"BASTROP COUNTY","FEMALE",8596
"2018-2019",13,"BASTROP COUNTY","MALE",9126
"2018-2019",09,"BAYLOR COUNTY","FEMALE",263
"2018-2019",09,"BAYLOR COUNTY","MALE",319
"2018-2019",02,"BEE COUNTY","FEMALE",2596
"2018-2019",02,"BEE COUNTY","MALE",2736
"2018-2019",12,"BELL COUNTY","FEMALE",36584
"2018-2019",13,"BELL COUNTY","FEMALE",170
"2018-2019",20,"BELL COUNTY","FEMALE",965
"2018-2019",12,"BELL COUNTY","MALE",38204
"2018-2019",13,"BELL COUNTY","MALE",173
"2018-2019",20,"BELL COUNTY","MALE",987
"2018-2019",20,"BEXAR COUNTY","FEMALE",170359
"2018-2019",20,"BEXAR COUNTY","MALE",179603
"2018-2019",13,"BLANCO COUNTY","FEMALE",801
"2018-2019",13,"BLANCO COUNTY","MALE",860
"2018-2019",17,"BORDEN COUNTY","FEMALE",101
"2018-2019",17,"BORDEN COUNTY","MALE",113
"2018-2019",12,"BOSQUE COUNTY","FEMALE",1408
"2018-2019",12,"BOSQUE COUNTY","MALE",1514
"2018-2019",08,"BOWIE COUNTY","FEMALE",8736
"2018-2019",08,"BOWIE COUNTY","MALE",9115
"2018-2019",04,"BRAZORIA COUNTY","FEMALE",35082
"2018-2019",04,"BRAZORIA COUNTY","MALE",37625
"2018-2019",06,"BRAZOS COUNTY","FEMALE",14936
"2018-2019",06,"BRAZOS COUNTY","MALE",15659
"2018-2019",18,"BREWSTER COUNTY","FEMALE",588
"2018-2019",18,"BREWSTER COUNTY","MALE",595
"2018-2019",16,"BRISCOE COUNTY","FEMALE",77
"2018-2019",16,"BRISCOE COUNTY","MALE",114
"2018-2019",02,"BROOKS COUNTY","FEMALE",770
"2018-2019",02,"BROOKS COUNTY","MALE",798
"2018-2019",15,"BROWN COUNTY","FEMALE",3195
"2018-2019",15,"BROWN COUNTY","MALE",3370
"2018-2019",06,"BURLESON COUNTY","FEMALE",1364
"2018-2019",06,"BURLESON COUNTY","MALE",1440
"2018-2019",13,"BURNET COUNTY","FEMALE",3518
"2018-2019",13,"BURNET COUNTY","MALE",3953
"2018-2019",13,"CALDWELL COUNTY","FEMALE",3850
"2018-2019",13,"CALDWELL COUNTY","MALE",3887
"2018-2019",03,"CALHOUN COUNTY","FEMALE",1869
"2018-2019",03,"CALHOUN COUNTY","MALE",1977
"2018-2019",14,"CALLAHAN COUNTY","FEMALE",1178
"2018-2019",14,"CALLAHAN COUNTY","MALE",1341
"2018-2019",01,"CAMERON COUNTY","FEMALE",47717
"2018-2019",01,"CAMERON COUNTY","MALE",49984
"2018-2019",08,"CAMP COUNTY","FEMALE",1135
"2018-2019",08,"CAMP COUNTY","MALE",1221
"2018-2019",16,"CARSON COUNTY","FEMALE",573
"2018-2019",16,"CARSON COUNTY","MALE",644
