T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","COUNTY NAME","GENDER","GRADE","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY","MALE","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Kindergarten",290
"2018-2019",07,"ANDERSON COUNTY","MALE","Kindergarten",317
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 1",279
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 1",300
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 2",271
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 2",339
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 3",286
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 3",293
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 4",309
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 4",335
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 5",310
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 5",312
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 6",276
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 6",311
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 7",298
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 7",326
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 8",302
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 8",350
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 9",338
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 9",353
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 10",252
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 10",341
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 11",304
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 11",310
"2018-2019",07,"ANDERSON COUNTY","FEMALE","Grade 12",248
"2018-2019",07,"ANDERSON COUNTY","MALE","Grade 12",262
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Early Education",-999
"2018-2019",18,"ANDREWS COUNTY","MALE","Early Education",-999
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",18,"ANDREWS COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Kindergarten",177
"2018-2019",18,"ANDREWS COUNTY","MALE","Kindergarten",184
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 1",166
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 1",181
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 2",161
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 2",148
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 3",142
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 3",158
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 4",160
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 4",186
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 5",158
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 5",170
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 6",186
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 6",195
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 7",142
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 7",169
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 8",162
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 8",173
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 9",159
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 9",192
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 10",163
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 10",155
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 11",116
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 11",141
"2018-2019",18,"ANDREWS COUNTY","FEMALE","Grade 12",133
"2018-2019",18,"ANDREWS COUNTY","MALE","Grade 12",124
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Early Education",18
"2018-2019",07,"ANGELINA COUNTY","MALE","Early Education",29
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Pre-kindergarten",517
"2018-2019",07,"ANGELINA COUNTY","MALE","Pre-kindergarten",490
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Kindergarten",607
"2018-2019",07,"ANGELINA COUNTY","MALE","Kindergarten",587
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 1",624
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 1",673
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 2",571
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 2",633
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 3",600
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 3",595
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 4",603
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 4",644
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 5",618
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 5",668
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 6",652
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 6",710
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 7",648
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 7",653
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 8",604
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 8",631
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 9",649
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 9",695
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 10",582
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 10",596
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 11",582
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 11",620
"2018-2019",07,"ANGELINA COUNTY","FEMALE","Grade 12",550
"2018-2019",07,"ANGELINA COUNTY","MALE","Grade 12",558
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Early Education",-999
"2018-2019",02,"ARANSAS COUNTY","MALE","Early Education",-999
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",02,"ARANSAS COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Kindergarten",77
"2018-2019",02,"ARANSAS COUNTY","MALE","Kindergarten",93
