"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","GRADE","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",21
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",17
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",15
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",11
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",-999
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",-999
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",22
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",23
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",24
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",25
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",24
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",25
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",13
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",22
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",19
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",24
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",20
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",21
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",24
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",30
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",16
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",24
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",17
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",18
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",19
"2018-2019",07,"ANDERSON COUNTY",001902,"CAYUGA ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",31
