T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","ETHNICITY","ENROLLMENT"
"2018-2019",01,"American Indian or Alaska Nat",185
"2018-2019",01,"Asian",1875
"2018-2019",01,"Black or African American",2379
"2018-2019",01,"Hispanic/Latino",423464
"2018-2019",01,"Native Hawaiian/Other Pacific",76
"2018-2019",01,"Two or more races",628
"2018-2019",01,"White",7508
"2018-2019",02,"American Indian or Alaska Nat",175
"2018-2019",02,"Asian",1249
"2018-2019",02,"Black or African American",2390
"2018-2019",02,"Hispanic/Latino",77853
"2018-2019",02,"Native Hawaiian/Other Pacific",85
"2018-2019",02,"Two or more races",1178
"2018-2019",02,"White",20222
"2018-2019",03,"American Indian or Alaska Nat",90
"2018-2019",03,"Asian",619
"2018-2019",03,"Black or African American",4249
"2018-2019",03,"Hispanic/Latino",30742
"2018-2019",03,"Native Hawaiian/Other Pacific",20
"2018-2019",03,"Two or more races",841
"2018-2019",03,"White",16783
"2018-2019",04,"American Indian or Alaska Nat",5252
"2018-2019",04,"Asian",86257
"2018-2019",04,"Black or African American",220710
"2018-2019",04,"Hispanic/Latino",610273
"2018-2019",04,"Native Hawaiian/Other Pacific",1524
"2018-2019",04,"Two or more races",24947
"2018-2019",04,"White",252717
"2018-2019",05,"American Indian or Alaska Nat",518
"2018-2019",05,"Asian",1845
"2018-2019",05,"Black or African American",21156
"2018-2019",05,"Hispanic/Latino",18818
"2018-2019",05,"Native Hawaiian/Other Pacific",52
"2018-2019",05,"Two or more races",2080
"2018-2019",05,"White",39597
"2018-2019",06,"American Indian or Alaska Nat",837
"2018-2019",06,"Asian",5101
"2018-2019",06,"Black or African American",21442
"2018-2019",06,"Hispanic/Latino",73839
"2018-2019",06,"Native Hawaiian/Other Pacific",254
"2018-2019",06,"Two or more races",5328
"2018-2019",06,"White",94427
"2018-2019",07,"American Indian or Alaska Nat",621
"2018-2019",07,"Asian",1632
"2018-2019",07,"Black or African American",28557
"2018-2019",07,"Hispanic/Latino",50307
"2018-2019",07,"Native Hawaiian/Other Pacific",107
"2018-2019",07,"Two or more races",6072
"2018-2019",07,"White",86500
"2018-2019",08,"American Indian or Alaska Nat",308
"2018-2019",08,"Asian",436
"2018-2019",08,"Black or African American",10988
"2018-2019",08,"Hispanic/Latino",12132
"2018-2019",08,"Native Hawaiian/Other Pacific",42
"2018-2019",08,"Two or more races",2520
"2018-2019",08,"White",29687
"2018-2019",09,"American Indian or Alaska Nat",222
"2018-2019",09,"Asian",571
"2018-2019",09,"Black or African American",2626
"2018-2019",09,"Hispanic/Latino",10677
"2018-2019",09,"Native Hawaiian/Other Pacific",35
"2018-2019",09,"Two or more races",1785
"2018-2019",09,"White",21617
"2018-2019",10,"American Indian or Alaska Nat",5353
"2018-2019",10,"Asian",69498
"2018-2019",10,"Black or African American",161212
"2018-2019",10,"Hispanic/Latino",377848
"2018-2019",10,"Native Hawaiian/Other Pacific",924
"2018-2019",10,"Two or more races",23987
"2018-2019",10,"White",236168
"2018-2019",11,"American Indian or Alaska Nat",2480
"2018-2019",11,"Asian",29783
"2018-2019",11,"Black or African American",89249
"2018-2019",11,"Hispanic/Latino",216105
"2018-2019",11,"Native Hawaiian/Other Pacific",1739
"2018-2019",11,"Two or more races",18997
"2018-2019",11,"White",235163
"2018-2019",12,"American Indian or Alaska Nat",701
"2018-2019",12,"Asian",3533
"2018-2019",12,"Black or African American",34721
"2018-2019",12,"Hispanic/Latino",61395
"2018-2019",12,"Native Hawaiian/Other Pacific",1510
"2018-2019",12,"Two or more races",8173
"2018-2019",12,"White",66196
"2018-2019",13,"American Indian or Alaska Nat",1023
"2018-2019",13,"Asian",22769
"2018-2019",13,"Black or African American",33078
"2018-2019",13,"Hispanic/Latino",197927
"2018-2019",13,"Native Hawaiian/Other Pacific",458
"2018-2019",13,"Two or more races",13270
"2018-2019",13,"White",144449
"2018-2019",14,"American Indian or Alaska Nat",227
"2018-2019",14,"Asian",1344
"2018-2019",14,"Black or African American",4940
"2018-2019",14,"Hispanic/Latino",20837
"2018-2019",14,"Native Hawaiian/Other Pacific",66
"2018-2019",14,"Two or more races",1939
"2018-2019",14,"White",28367
"2018-2019",15,"American Indian or Alaska Nat",121
"2018-2019",15,"Asian",383
"2018-2019",15,"Black or African American",1331
"2018-2019",15,"Hispanic/Latino",29073
"2018-2019",15,"Native Hawaiian/Other Pacific",28
"2018-2019",15,"Two or more races",920
"2018-2019",15,"White",18319
"2018-2019",16,"American Indian or Alaska Nat",401
"2018-2019",16,"Asian",2400
"2018-2019",16,"Black or African American",4495
"2018-2019",16,"Hispanic/Latino",40620
"2018-2019",16,"Native Hawaiian/Other Pacific",75
"2018-2019",16,"Two or more races",1923
"2018-2019",16,"White",35104
"2018-2019",17,"American Indian or Alaska Nat",240
"2018-2019",17,"Asian",1049
"2018-2019",17,"Black or African American",5594
"2018-2019",17,"Hispanic/Latino",49231
"2018-2019",17,"Native Hawaiian/Other Pacific",46
"2018-2019",17,"Two or more races",1478
"2018-2019",17,"White",26865
"2018-2019",18,"American Indian or Alaska Nat",259
"2018-2019",18,"Asian",1143
"2018-2019",18,"Black or African American",3963
"2018-2019",18,"Hispanic/Latino",64681
"2018-2019",18,"Native Hawaiian/Other Pacific",127
"2018-2019",18,"Two or more races",1235
"2018-2019",18,"White",22051
"2018-2019",19,"American Indian or Alaska Nat",312
"2018-2019",19,"Asian",1160
"2018-2019",19,"Black or African American",3903
"2018-2019",19,"Hispanic/Latino",159656
"2018-2019",19,"Native Hawaiian/Other Pacific",379
"2018-2019",19,"Two or more races",1558
"2018-2019",19,"White",10026
"2018-2019",20,"American Indian or Alaska Nat",1089
"2018-2019",20,"Asian",10010
"2018-2019",20,"Black or African American",28792
"2018-2019",20,"Hispanic/Latino",329112
"2018-2019",20,"Native Hawaiian/Other Pacific",724
"2018-2019",20,"Two or more races",11045
"2018-2019",20,"White",98533

