T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","GENDER","ENROLLMENT"
"2018-2019",01,"FEMALE",213465
"2018-2019",01,"MALE",222650
"2018-2019",02,"FEMALE",50010
"2018-2019",02,"MALE",53142
"2018-2019",03,"FEMALE",25880
"2018-2019",03,"MALE",27464
"2018-2019",04,"FEMALE",585578
"2018-2019",04,"MALE",616102
"2018-2019",05,"FEMALE",40666
"2018-2019",05,"MALE",43400
"2018-2019",06,"FEMALE",98129
"2018-2019",06,"MALE",103099
"2018-2019",07,"FEMALE",84564
"2018-2019",07,"MALE",89232
"2018-2019",08,"FEMALE",27427
"2018-2019",08,"MALE",28686
"2018-2019",09,"FEMALE",18234
"2018-2019",09,"MALE",19299
"2018-2019",10,"FEMALE",427226
"2018-2019",10,"MALE",447764
"2018-2019",11,"FEMALE",288854
"2018-2019",11,"MALE",304662
"2018-2019",12,"FEMALE",85828
"2018-2019",12,"MALE",90401
"2018-2019",13,"FEMALE",201088
"2018-2019",13,"MALE",211886
"2018-2019",14,"FEMALE",28437
"2018-2019",14,"MALE",29283
"2018-2019",15,"FEMALE",24437
"2018-2019",15,"MALE",25738
"2018-2019",16,"FEMALE",41383
"2018-2019",16,"MALE",43635
"2018-2019",17,"FEMALE",41153
"2018-2019",17,"MALE",43350
"2018-2019",18,"FEMALE",45606
"2018-2019",18,"MALE",47853
"2018-2019",19,"FEMALE",86341
"2018-2019",19,"MALE",90653
"2018-2019",20,"FEMALE",233218
"2018-2019",20,"MALE",246087

