"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2018-2019",01,"FEMALE","Early Education",265
"2018-2019",01,"MALE","Early Education",619
"2018-2019",01,"FEMALE","Pre-kindergarten",15292
"2018-2019",01,"MALE","Pre-kindergarten",15451
"2018-2019",01,"FEMALE","Kindergarten",14143
"2018-2019",01,"MALE","Kindergarten",14726
"2018-2019",01,"FEMALE","Grade 1",14777
"2018-2019",01,"MALE","Grade 1",15803
"2018-2019",01,"FEMALE","Grade 2",14819
"2018-2019",01,"MALE","Grade 2",15733
"2018-2019",01,"FEMALE","Grade 3",14618
"2018-2019",01,"MALE","Grade 3",15073
"2018-2019",01,"FEMALE","Grade 4",15298
"2018-2019",01,"MALE","Grade 4",15850
"2018-2019",01,"FEMALE","Grade 5",15244
"2018-2019",01,"MALE","Grade 5",15930
"2018-2019",01,"FEMALE","Grade 6",16069
"2018-2019",01,"MALE","Grade 6",16576
"2018-2019",01,"FEMALE","Grade 7",15726
"2018-2019",01,"MALE","Grade 7",16387
"2018-2019",01,"FEMALE","Grade 8",15735
"2018-2019",01,"MALE","Grade 8",16408
"2018-2019",01,"FEMALE","Grade 9",16860
"2018-2019",01,"MALE","Grade 9",18277
"2018-2019",01,"FEMALE","Grade 10",15622
"2018-2019",01,"MALE","Grade 10",16508
"2018-2019",01,"FEMALE","Grade 11",14648
"2018-2019",01,"MALE","Grade 11",15040
"2018-2019",01,"FEMALE","Grade 12",14349
"2018-2019",01,"MALE","Grade 12",14269
"2018-2019",02,"FEMALE","Early Education",123
"2018-2019",02,"MALE","Early Education",317
"2018-2019",02,"FEMALE","Pre-kindergarten",2195
"2018-2019",02,"MALE","Pre-kindergarten",2142
"2018-2019",02,"FEMALE","Kindergarten",3420
"2018-2019",02,"MALE","Kindergarten",3714
"2018-2019",02,"FEMALE","Grade 1",3524
"2018-2019",02,"MALE","Grade 1",3807
"2018-2019",02,"FEMALE","Grade 2",3571
"2018-2019",02,"MALE","Grade 2",3796
"2018-2019",02,"FEMALE","Grade 3",3681
"2018-2019",02,"MALE","Grade 3",3804
"2018-2019",02,"FEMALE","Grade 4",3816
"2018-2019",02,"MALE","Grade 4",3993
"2018-2019",02,"FEMALE","Grade 5",3979
"2018-2019",02,"MALE","Grade 5",4072
"2018-2019",02,"FEMALE","Grade 6",3745
"2018-2019",02,"MALE","Grade 6",4106
"2018-2019",02,"FEMALE","Grade 7",3772
"2018-2019",02,"MALE","Grade 7",4182
"2018-2019",02,"FEMALE","Grade 8",3820
"2018-2019",02,"MALE","Grade 8",3998
"2018-2019",02,"FEMALE","Grade 9",3881
"2018-2019",02,"MALE","Grade 9",4301
"2018-2019",02,"FEMALE","Grade 10",3654
"2018-2019",02,"MALE","Grade 10",3728
"2018-2019",02,"FEMALE","Grade 11",3484
"2018-2019",02,"MALE","Grade 11",3628
"2018-2019",02,"FEMALE","Grade 12",3345
"2018-2019",02,"MALE","Grade 12",3554
"2018-2019",03,"FEMALE","Early Education",76
"2018-2019",03,"MALE","Early Education",222
"2018-2019",03,"FEMALE","Pre-kindergarten",1188
"2018-2019",03,"MALE","Pre-kindergarten",1233
"2018-2019",03,"FEMALE","Kindergarten",1802
"2018-2019",03,"MALE","Kindergarten",1872
"2018-2019",03,"FEMALE","Grade 1",1830
"2018-2019",03,"MALE","Grade 1",1909
"2018-2019",03,"FEMALE","Grade 2",1831
"2018-2019",03,"MALE","Grade 2",1856
"2018-2019",03,"FEMALE","Grade 3",1869
"2018-2019",03,"MALE","Grade 3",2014
"2018-2019",03,"FEMALE","Grade 4",1936
"2018-2019",03,"MALE","Grade 4",2033
"2018-2019",03,"FEMALE","Grade 5",2010
"2018-2019",03,"MALE","Grade 5",2229
"2018-2019",03,"FEMALE","Grade 6",2021
"2018-2019",03,"MALE","Grade 6",2156
"2018-2019",03,"FEMALE","Grade 7",1923
"2018-2019",03,"MALE","Grade 7",2044
"2018-2019",03,"FEMALE","Grade 8",1897
"2018-2019",03,"MALE","Grade 8",2000
"2018-2019",03,"FEMALE","Grade 9",2005
"2018-2019",03,"MALE","Grade 9",2207
"2018-2019",03,"FEMALE","Grade 10",1956
"2018-2019",03,"MALE","Grade 10",1977
"2018-2019",03,"FEMALE","Grade 11",1828
"2018-2019",03,"MALE","Grade 11",1912
"2018-2019",03,"FEMALE","Grade 12",1708
"2018-2019",03,"MALE","Grade 12",1800
"2018-2019",04,"FEMALE","Early Education",1718
"2018-2019",04,"MALE","Early Education",4001
"2018-2019",04,"FEMALE","Pre-kindergarten",24987
"2018-2019",04,"MALE","Pre-kindergarten",24954
"2018-2019",04,"FEMALE","Kindergarten",39806
"2018-2019",04,"MALE","Kindergarten",41386
"2018-2019",04,"FEMALE","Grade 1",41585
"2018-2019",04,"MALE","Grade 1",44066
"2018-2019",04,"FEMALE","Grade 2",42448
"2018-2019",04,"MALE","Grade 2",44463
"2018-2019",04,"FEMALE","Grade 3",43505
"2018-2019",04,"MALE","Grade 3",45762
"2018-2019",04,"FEMALE","Grade 4",45556
"2018-2019",04,"MALE","Grade 4",47392
"2018-2019",04,"FEMALE","Grade 5",44752
"2018-2019",04,"MALE","Grade 5",47316
"2018-2019",04,"FEMALE","Grade 6",45049
"2018-2019",04,"MALE","Grade 6",47416
"2018-2019",04,"FEMALE","Grade 7",43741
"2018-2019",04,"MALE","Grade 7",45865
"2018-2019",04,"FEMALE","Grade 8",43228
"2018-2019",04,"MALE","Grade 8",45849
"2018-2019",04,"FEMALE","Grade 9",46083
"2018-2019",04,"MALE","Grade 9",50278
"2018-2019",04,"FEMALE","Grade 10",43409
"2018-2019",04,"MALE","Grade 10",45535
"2018-2019",04,"FEMALE","Grade 11",40848
"2018-2019",04,"MALE","Grade 11",42175
"2018-2019",04,"FEMALE","Grade 12",38863
"2018-2019",04,"MALE","Grade 12",39644
"2018-2019",05,"FEMALE","Early Education",197
"2018-2019",05,"MALE","Early Education",391
"2018-2019",05,"FEMALE","Pre-kindergarten",2003
"2018-2019",05,"MALE","Pre-kindergarten",2082
"2018-2019",05,"FEMALE","Kindergarten",3030
"2018-2019",05,"MALE","Kindergarten",3186
"2018-2019",05,"FEMALE","Grade 1",2982
"2018-2019",05,"MALE","Grade 1",3276
"2018-2019",05,"FEMALE","Grade 2",2940
"2018-2019",05,"MALE","Grade 2",3151
"2018-2019",05,"FEMALE","Grade 3",3108
"2018-2019",05,"MALE","Grade 3",3235
"2018-2019",05,"FEMALE","Grade 4",3152
"2018-2019",05,"MALE","Grade 4",3349
"2018-2019",05,"FEMALE","Grade 5",3162
"2018-2019",05,"MALE","Grade 5",3292
"2018-2019",05,"FEMALE","Grade 6",3069
"2018-2019",05,"MALE","Grade 6",3302
"2018-2019",05,"FEMALE","Grade 7",3011
"2018-2019",05,"MALE","Grade 7",3214
"2018-2019",05,"FEMALE","Grade 8",2963
"2018-2019",05,"MALE","Grade 8",3102
"2018-2019",05,"FEMALE","Grade 9",3042
"2018-2019",05,"MALE","Grade 9",3286
"2018-2019",05,"FEMALE","Grade 10",2798
"2018-2019",05,"MALE","Grade 10",2998
"2018-2019",05,"FEMALE","Grade 11",2669
"2018-2019",05,"MALE","Grade 11",2808
"2018-2019",05,"FEMALE","Grade 12",2540
"2018-2019",05,"MALE","Grade 12",2728
"2018-2019",06,"FEMALE","Early Education",276
"2018-2019",06,"MALE","Early Education",654
"2018-2019",06,"FEMALE","Pre-kindergarten",3491
"2018-2019",06,"MALE","Pre-kindergarten",3517
"2018-2019",06,"FEMALE","Kindergarten",6712
"2018-2019",06,"MALE","Kindergarten",7036
"2018-2019",06,"FEMALE","Grade 1",7024
"2018-2019",06,"MALE","Grade 1",7380
"2018-2019",06,"FEMALE","Grade 2",6949
"2018-2019",06,"MALE","Grade 2",7379
"2018-2019",06,"FEMALE","Grade 3",7264
"2018-2019",06,"MALE","Grade 3",7575
"2018-2019",06,"FEMALE","Grade 4",7522
"2018-2019",06,"MALE","Grade 4",8032
"2018-2019",06,"FEMALE","Grade 5",7659
"2018-2019",06,"MALE","Grade 5",7987
"2018-2019",06,"FEMALE","Grade 6",7595
"2018-2019",06,"MALE","Grade 6",8035
"2018-2019",06,"FEMALE","Grade 7",7391
"2018-2019",06,"MALE","Grade 7",7879
"2018-2019",06,"FEMALE","Grade 8",7492
"2018-2019",06,"MALE","Grade 8",7816
"2018-2019",06,"FEMALE","Grade 9",7790
"2018-2019",06,"MALE","Grade 9",8493
"2018-2019",06,"FEMALE","Grade 10",7457
"2018-2019",06,"MALE","Grade 10",7689
"2018-2019",06,"FEMALE","Grade 11",6878
"2018-2019",06,"MALE","Grade 11",7097
"2018-2019",06,"FEMALE","Grade 12",6629
"2018-2019",06,"MALE","Grade 12",6530
"2018-2019",07,"FEMALE","Early Education",159
"2018-2019",07,"MALE","Early Education",402
"2018-2019",07,"FEMALE","Pre-kindergarten",3703
"2018-2019",07,"MALE","Pre-kindergarten",3929
"2018-2019",07,"FEMALE","Kindergarten",5777
"2018-2019",07,"MALE","Kindergarten",6230
"2018-2019",07,"FEMALE","Grade 1",6125
"2018-2019",07,"MALE","Grade 1",6343
"2018-2019",07,"FEMALE","Grade 2",5874
"2018-2019",07,"MALE","Grade 2",6349
"2018-2019",07,"FEMALE","Grade 3",6088
"2018-2019",07,"MALE","Grade 3",6438
"2018-2019",07,"FEMALE","Grade 4",6216
"2018-2019",07,"MALE","Grade 4",6604
"2018-2019",07,"FEMALE","Grade 5",6462
"2018-2019",07,"MALE","Grade 5",6698
"2018-2019",07,"FEMALE","Grade 6",6655
"2018-2019",07,"MALE","Grade 6",6901
"2018-2019",07,"FEMALE","Grade 7",6403
"2018-2019",07,"MALE","Grade 7",6857
"2018-2019",07,"FEMALE","Grade 8",6500
"2018-2019",07,"MALE","Grade 8",6946
"2018-2019",07,"FEMALE","Grade 9",6616
"2018-2019",07,"MALE","Grade 9",7074
"2018-2019",07,"FEMALE","Grade 10",6284
"2018-2019",07,"MALE","Grade 10",6619
"2018-2019",07,"FEMALE","Grade 11",6077
"2018-2019",07,"MALE","Grade 11",6138
"2018-2019",07,"FEMALE","Grade 12",5625
"2018-2019",07,"MALE","Grade 12",5704
"2018-2019",08,"FEMALE","Early Education",110
