T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","GRADE","ENROLLMENT"
"2018-2019",01,"Early Education",884
"2018-2019",01,"Pre-kindergarten",30743
"2018-2019",01,"Kindergarten",28869
"2018-2019",01,"Grade 1",30580
"2018-2019",01,"Grade 2",30552
"2018-2019",01,"Grade 3",29691
"2018-2019",01,"Grade 4",31148
"2018-2019",01,"Grade 5",31174
"2018-2019",01,"Grade 6",32645
"2018-2019",01,"Grade 7",32113
"2018-2019",01,"Grade 8",32143
"2018-2019",01,"Grade 9",35137
"2018-2019",01,"Grade 10",32130
"2018-2019",01,"Grade 11",29688
"2018-2019",01,"Grade 12",28618
"2018-2019",02,"Early Education",440
"2018-2019",02,"Pre-kindergarten",4337
"2018-2019",02,"Kindergarten",7134
"2018-2019",02,"Grade 1",7331
"2018-2019",02,"Grade 2",7367
"2018-2019",02,"Grade 3",7485
"2018-2019",02,"Grade 4",7809
"2018-2019",02,"Grade 5",8051
"2018-2019",02,"Grade 6",7851
"2018-2019",02,"Grade 7",7954
"2018-2019",02,"Grade 8",7818
"2018-2019",02,"Grade 9",8182
"2018-2019",02,"Grade 10",7382
"2018-2019",02,"Grade 11",7112
"2018-2019",02,"Grade 12",6899
"2018-2019",03,"Early Education",298
"2018-2019",03,"Pre-kindergarten",2421
"2018-2019",03,"Kindergarten",3674
"2018-2019",03,"Grade 1",3739
"2018-2019",03,"Grade 2",3687
"2018-2019",03,"Grade 3",3883
"2018-2019",03,"Grade 4",3969
"2018-2019",03,"Grade 5",4239
"2018-2019",03,"Grade 6",4177
"2018-2019",03,"Grade 7",3967
"2018-2019",03,"Grade 8",3897
"2018-2019",03,"Grade 9",4212
"2018-2019",03,"Grade 10",3933
"2018-2019",03,"Grade 11",3740
"2018-2019",03,"Grade 12",3508
"2018-2019",04,"Early Education",5719
"2018-2019",04,"Pre-kindergarten",49941
"2018-2019",04,"Kindergarten",81192
"2018-2019",04,"Grade 1",85651
"2018-2019",04,"Grade 2",86911
"2018-2019",04,"Grade 3",89267
"2018-2019",04,"Grade 4",92948
"2018-2019",04,"Grade 5",92068
"2018-2019",04,"Grade 6",92465
"2018-2019",04,"Grade 7",89606
"2018-2019",04,"Grade 8",89077
"2018-2019",04,"Grade 9",96361
"2018-2019",04,"Grade 10",88944
"2018-2019",04,"Grade 11",83023
"2018-2019",04,"Grade 12",78507
"2018-2019",05,"Early Education",588
"2018-2019",05,"Pre-kindergarten",4085
"2018-2019",05,"Kindergarten",6216
"2018-2019",05,"Grade 1",6258
"2018-2019",05,"Grade 2",6091
"2018-2019",05,"Grade 3",6343
"2018-2019",05,"Grade 4",6501
"2018-2019",05,"Grade 5",6454
"2018-2019",05,"Grade 6",6371
"2018-2019",05,"Grade 7",6225
"2018-2019",05,"Grade 8",6065
"2018-2019",05,"Grade 9",6328
"2018-2019",05,"Grade 10",5796
"2018-2019",05,"Grade 11",5477
"2018-2019",05,"Grade 12",5268
"2018-2019",06,"Early Education",930
"2018-2019",06,"Pre-kindergarten",7008
"2018-2019",06,"Kindergarten",13748
"2018-2019",06,"Grade 1",14404
"2018-2019",06,"Grade 2",14328
"2018-2019",06,"Grade 3",14839
"2018-2019",06,"Grade 4",15554
"2018-2019",06,"Grade 5",15646
"2018-2019",06,"Grade 6",15630
"2018-2019",06,"Grade 7",15270
"2018-2019",06,"Grade 8",15308
"2018-2019",06,"Grade 9",16283
"2018-2019",06,"Grade 10",15146
"2018-2019",06,"Grade 11",13975
"2018-2019",06,"Grade 12",13159
"2018-2019",07,"Early Education",561
"2018-2019",07,"Pre-kindergarten",7632
"2018-2019",07,"Kindergarten",12007
"2018-2019",07,"Grade 1",12468
"2018-2019",07,"Grade 2",12223
"2018-2019",07,"Grade 3",12526
"2018-2019",07,"Grade 4",12820
"2018-2019",07,"Grade 5",13160
"2018-2019",07,"Grade 6",13556
"2018-2019",07,"Grade 7",13260
"2018-2019",07,"Grade 8",13446
"2018-2019",07,"Grade 9",13690
"2018-2019",07,"Grade 10",12903
"2018-2019",07,"Grade 11",12215
"2018-2019",07,"Grade 12",11329
"2018-2019",08,"Early Education",257
"2018-2019",08,"Pre-kindergarten",3435
"2018-2019",08,"Kindergarten",4068
"2018-2019",08,"Grade 1",4104
"2018-2019",08,"Grade 2",3933
"2018-2019",08,"Grade 3",3988
"2018-2019",08,"Grade 4",4118
"2018-2019",08,"Grade 5",4262
"2018-2019",08,"Grade 6",4245
"2018-2019",08,"Grade 7",4083
"2018-2019",08,"Grade 8",4107
"2018-2019",08,"Grade 9",4287
"2018-2019",08,"Grade 10",3874
"2018-2019",08,"Grade 11",3751
"2018-2019",08,"Grade 12",3601
"2018-2019",09,"Early Education",195
"2018-2019",09,"Pre-kindergarten",2010
"2018-2019",09,"Kindergarten",2720
"2018-2019",09,"Grade 1",2757
"2018-2019",09,"Grade 2",2669
"2018-2019",09,"Grade 3",2709
"2018-2019",09,"Grade 4",2863
"2018-2019",09,"Grade 5",2852
"2018-2019",09,"Grade 6",2828
"2018-2019",09,"Grade 7",2773
"2018-2019",09,"Grade 8",2716
"2018-2019",09,"Grade 9",2724
"2018-2019",09,"Grade 10",2638
"2018-2019",09,"Grade 11",2628
"2018-2019",09,"Grade 12",2451
"2018-2019",10,"Early Education",4049
"2018-2019",10,"Pre-kindergarten",35560
"2018-2019",10,"Kindergarten",60411
"2018-2019",10,"Grade 1",62206
"2018-2019",10,"Grade 2",62531
"2018-2019",10,"Grade 3",63946
"2018-2019",10,"Grade 4",66937
"2018-2019",10,"Grade 5",68203
"2018-2019",10,"Grade 6",68208
"2018-2019",10,"Grade 7",66095
"2018-2019",10,"Grade 8",65345
"2018-2019",10,"Grade 9",70170
"2018-2019",10,"Grade 10",64636
"2018-2019",10,"Grade 11",60352
"2018-2019",10,"Grade 12",56341
"2018-2019",11,"Early Education",2712
"2018-2019",11,"Pre-kindergarten",21268
"2018-2019",11,"Kindergarten",40649
"2018-2019",11,"Grade 1",41102
"2018-2019",11,"Grade 2",41464
"2018-2019",11,"Grade 3",42662
"2018-2019",11,"Grade 4",44499
"2018-2019",11,"Grade 5",45760
"2018-2019",11,"Grade 6",45251
"2018-2019",11,"Grade 7",45020
"2018-2019",11,"Grade 8",44650
"2018-2019",11,"Grade 9",49374
"2018-2019",11,"Grade 10",45864
"2018-2019",11,"Grade 11",42545
"2018-2019",11,"Grade 12",40696
"2018-2019",12,"Early Education",606
"2018-2019",12,"Pre-kindergarten",9263
"2018-2019",12,"Kindergarten",12876
"2018-2019",12,"Grade 1",13186
"2018-2019",12,"Grade 2",12918
"2018-2019",12,"Grade 3",13073
"2018-2019",12,"Grade 4",13420
"2018-2019",12,"Grade 5",13370
"2018-2019",12,"Grade 6",13617
"2018-2019",12,"Grade 7",13104
"2018-2019",12,"Grade 8",12921
"2018-2019",12,"Grade 9",13500
"2018-2019",12,"Grade 10",12290
"2018-2019",12,"Grade 11",11219
"2018-2019",12,"Grade 12",10866
"2018-2019",13,"Early Education",2166
"2018-2019",13,"Pre-kindergarten",16493
"2018-2019",13,"Kindergarten",29369
"2018-2019",13,"Grade 1",29629
"2018-2019",13,"Grade 2",30241
"2018-2019",13,"Grade 3",30345
"2018-2019",13,"Grade 4",31291
"2018-2019",13,"Grade 5",32509
"2018-2019",13,"Grade 6",32031
"2018-2019",13,"Grade 7",31426
"2018-2019",13,"Grade 8",30894
"2018-2019",13,"Grade 9",32859
"2018-2019",13,"Grade 10",29964
"2018-2019",13,"Grade 11",27677
"2018-2019",13,"Grade 12",26080
"2018-2019",14,"Early Education",413
"2018-2019",14,"Pre-kindergarten",2308
"2018-2019",14,"Kindergarten",4569
