T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","GENDER","GRADE","ENROLLMENT"
"2018-2019","FEMALE","Early Education",7640
"2018-2019","MALE","Early Education",17124
"2018-2019","FEMALE","Pre-kindergarten",119140
"2018-2019","MALE","Pre-kindergarten",120506
"2018-2019","FEMALE","Kindergarten",182367
"2018-2019","MALE","Kindergarten",191653
"2018-2019","FEMALE","Grade 1",188304
"2018-2019","MALE","Grade 1",198596
"2018-2019","FEMALE","Grade 2",188992
"2018-2019","MALE","Grade 2",198771
"2018-2019","FEMALE","Grade 3",193167
"2018-2019","MALE","Grade 3",202722
"2018-2019","FEMALE","Grade 4",201133
"2018-2019","MALE","Grade 4",210883
"2018-2019","FEMALE","Grade 5",203724
"2018-2019","MALE","Grade 5",213813
"2018-2019","FEMALE","Grade 6",203230
"2018-2019","MALE","Grade 6",214489
"2018-2019","FEMALE","Grade 7",198364
"2018-2019","MALE","Grade 7",208470
"2018-2019","FEMALE","Grade 8",196797
"2018-2019","MALE","Grade 8",208251
"2018-2019","FEMALE","Grade 9",209498
"2018-2019","MALE","Grade 9",227188
"2018-2019","FEMALE","Grade 10",195909
"2018-2019","MALE","Grade 10",204927
"2018-2019","FEMALE","Grade 11",184034
"2018-2019","MALE","Grade 11",189179
"2018-2019","FEMALE","Grade 12",175225
"2018-2019","MALE","Grade 12",177814

