T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CAMPUS","CAMPUS NAME","GENDER","GRADE GROUP NAME","ENROLLMENT"
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY",057816102,"GENESIS CAMPUS PRE-K THRU 5","Female","ELEMENTARY",532
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY",057816102,"GENESIS CAMPUS PRE-K THRU 5","Male","ELEMENTARY",488
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY",057816101,"QUEST CAMPUS KINDER THRU 8","Female","ELEMENTARY",379
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY",057816101,"QUEST CAMPUS KINDER THRU 8","Male","ELEMENTARY",326
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY",057829001,"A+ ACADEMY EL","Female","ELEMENTARY",381
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY",057829001,"A+ ACADEMY EL","Male","ELEMENTARY",381
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY",057829002,"A+ SECONDARY SCHOOL","Female","HIGH SCHOOL",314
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY",057829002,"A+ SECONDARY SCHOOL","Male","HIGH SCHOOL",323
"2019-2020",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL",101871102,"A+ UNLIMITED POTENTIAL - UNIVERSIT","Female","MIDDLE SCHOOL",62
"2019-2020",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL",101871102,"A+ UNLIMITED POTENTIAL - UNIVERSIT","Male","MIDDLE SCHOOL",74
"2019-2020",12,"HILL COUNTY",109901,"ABBOTT ISD",109901001,"ABBOTT SCHOOL","Female","ELEMENTARY / SECONDARY",147
"2019-2020",12,"HILL COUNTY",109901,"ABBOTT ISD",109901001,"ABBOTT SCHOOL","Male","ELEMENTARY / SECONDARY",141
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901003,"ABERNATHY DAEP","Male","HIGH SCHOOL","<10"
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901101,"ABERNATHY EL","Female","ELEMENTARY",185
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901101,"ABERNATHY EL","Male","ELEMENTARY",199
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901001,"ABERNATHY H S","Female","HIGH SCHOOL",121
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901001,"ABERNATHY H S","Male","HIGH SCHOOL",133
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901041,"ABERNATHY MIDDLE","Female","MIDDLE SCHOOL","<90"
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD",095901041,"ABERNATHY MIDDLE","Male","MIDDLE SCHOOL","<100"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901001,"ABILENE H S","Female","HIGH SCHOOL",1113
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901001,"ABILENE H S","Male","HIGH SCHOOL",1026
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901010,"ACADEMY FOR TECHNOLOGY ENGINEERING","Female","HIGH SCHOOL",120
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901010,"ACADEMY FOR TECHNOLOGY ENGINEERING","Male","HIGH SCHOOL",201
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901102,"AUSTIN EL","Female","ELEMENTARY",292
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901102,"AUSTIN EL","Male","ELEMENTARY",302
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901153,"BASSETTI EL","Female","ELEMENTARY",253
