T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","ENROLLMENT"
"2019-2020",07,"ANDERSON COUNTY","Female",3933
"2019-2020",07,"ANDERSON COUNTY","Male",4342
"2019-2020",18,"ANDREWS COUNTY","Female",2120
"2019-2020",18,"ANDREWS COUNTY","Male",2239
"2019-2020",07,"ANGELINA COUNTY","Female",8333
"2019-2020",07,"ANGELINA COUNTY","Male",8728
"2019-2020",02,"ARANSAS COUNTY","Female",1449
"2019-2020",02,"ARANSAS COUNTY","Male",1517
"2019-2020",09,"ARCHER COUNTY","Female",951
"2019-2020",09,"ARCHER COUNTY","Male",1010
"2019-2020",16,"ARMSTRONG COUNTY","Female",162
"2019-2020",16,"ARMSTRONG COUNTY","Male",169
"2019-2020",20,"ATASCOSA COUNTY","Female",4374
"2019-2020",20,"ATASCOSA COUNTY","Male",4694
"2019-2020",06,"AUSTIN COUNTY","Female",2882
"2019-2020",06,"AUSTIN COUNTY","Male",2988
"2019-2020",17,"BAILEY COUNTY","Female",663
"2019-2020",17,"BAILEY COUNTY","Male",740
"2019-2020",20,"BANDERA COUNTY","Female",1248
"2019-2020",20,"BANDERA COUNTY","Male",1358
"2019-2020",13,"BASTROP COUNTY","Female",8898
"2019-2020",13,"BASTROP COUNTY","Male",9329
"2019-2020",09,"BAYLOR COUNTY","Female",270
"2019-2020",09,"BAYLOR COUNTY","Male",309
"2019-2020",02,"BEE COUNTY","Female",2620
"2019-2020",02,"BEE COUNTY","Male",2818
"2019-2020",12,"BELL COUNTY","Female",37143
"2019-2020",13,"BELL COUNTY","Female",179
"2019-2020",20,"BELL COUNTY","Female",969
"2019-2020",12,"BELL COUNTY","Male",38641
"2019-2020",13,"BELL COUNTY","Male",198
"2019-2020",20,"BELL COUNTY","Male",952
"2019-2020",20,"BEXAR COUNTY","Female",172009
"2019-2020",20,"BEXAR COUNTY","Male",181345
"2019-2020",13,"BLANCO COUNTY","Female",810
"2019-2020",13,"BLANCO COUNTY","Male",868
"2019-2020",17,"BORDEN COUNTY","Female",97
"2019-2020",17,"BORDEN COUNTY","Male",110
"2019-2020",12,"BOSQUE COUNTY","Female",1399
"2019-2020",12,"BOSQUE COUNTY","Male",1481
"2019-2020",08,"BOWIE COUNTY","Female",9361
"2019-2020",08,"BOWIE COUNTY","Male",9585
"2019-2020",04,"BRAZORIA COUNTY","Female",35697
"2019-2020",04,"BRAZORIA COUNTY","Male",38045
"2019-2020",06,"BRAZOS COUNTY","Female",15243
"2019-2020",06,"BRAZOS COUNTY","Male",16019
"2019-2020",18,"BREWSTER COUNTY","Female",582
"2019-2020",18,"BREWSTER COUNTY","Male",629
"2019-2020",16,"BRISCOE COUNTY","Female",87
"2019-2020",16,"BRISCOE COUNTY","Male",97
"2019-2020",01,"BROOKS COUNTY","Female",739
"2019-2020",01,"BROOKS COUNTY","Male",767
"2019-2020",15,"BROWN COUNTY","Female",3089
"2019-2020",15,"BROWN COUNTY","Male",3297
"2019-2020",06,"BURLESON COUNTY","Female",1353
"2019-2020",06,"BURLESON COUNTY","Male",1415
"2019-2020",13,"BURNET COUNTY","Female",3615
"2019-2020",13,"BURNET COUNTY","Male",3987
"2019-2020",13,"CALDWELL COUNTY","Female",3854
"2019-2020",13,"CALDWELL COUNTY","Male",3946
"2019-2020",03,"CALHOUN COUNTY","Female",1892
"2019-2020",03,"CALHOUN COUNTY","Male",1948
"2019-2020",14,"CALLAHAN COUNTY","Female",1177
"2019-2020",14,"CALLAHAN COUNTY","Male",1347
"2019-2020",01,"CAMERON COUNTY","Female",46561
"2019-2020",01,"CAMERON COUNTY","Male",48744
"2019-2020",08,"CAMP COUNTY","Female",1174
"2019-2020",08,"CAMP COUNTY","Male",1267
"2019-2020",16,"CARSON COUNTY","Female",571
"2019-2020",16,"CARSON COUNTY","Male",617
"2019-2020",08,"CASS COUNTY","Female",2702
"2019-2020",08,"CASS COUNTY","Male",2839
"2019-2020",16,"CASTRO COUNTY","Female",825
"2019-2020",16,"CASTRO COUNTY","Male",863
