"YEAR","REGION","COUNTY NAME","GRADE","ENROLLMENT"
"2019-2020",07,"ANDERSON COUNTY","Early Education",12
"2019-2020",07,"ANDERSON COUNTY","Pre-kindergarten",489
"2019-2020",07,"ANDERSON COUNTY","Kindergarten",583
"2019-2020",07,"ANDERSON COUNTY","Grade 1",603
"2019-2020",07,"ANDERSON COUNTY","Grade 2",539
"2019-2020",07,"ANDERSON COUNTY","Grade 3",590
"2019-2020",07,"ANDERSON COUNTY","Grade 4",566
"2019-2020",07,"ANDERSON COUNTY","Grade 5",656
"2019-2020",07,"ANDERSON COUNTY","Grade 6",589
"2019-2020",07,"ANDERSON COUNTY","Grade 7",594
"2019-2020",07,"ANDERSON COUNTY","Grade 8",616
"2019-2020",07,"ANDERSON COUNTY","Grade 9",681
"2019-2020",07,"ANDERSON COUNTY","Grade 10",649
"2019-2020",07,"ANDERSON COUNTY","Grade 11",551
"2019-2020",07,"ANDERSON COUNTY","Grade 12",557
"2019-2020",18,"ANDREWS COUNTY","Early Education",15
"2019-2020",18,"ANDREWS COUNTY","Pre-kindergarten",133
"2019-2020",18,"ANDREWS COUNTY","Kindergarten",315
"2019-2020",18,"ANDREWS COUNTY","Grade 1",373
"2019-2020",18,"ANDREWS COUNTY","Grade 2",345
"2019-2020",18,"ANDREWS COUNTY","Grade 3",318
"2019-2020",18,"ANDREWS COUNTY","Grade 4",296
"2019-2020",18,"ANDREWS COUNTY","Grade 5",351
"2019-2020",18,"ANDREWS COUNTY","Grade 6",334
"2019-2020",18,"ANDREWS COUNTY","Grade 7",366
"2019-2020",18,"ANDREWS COUNTY","Grade 8",304
"2019-2020",18,"ANDREWS COUNTY","Grade 9",356
"2019-2020",18,"ANDREWS COUNTY","Grade 10",315
"2019-2020",18,"ANDREWS COUNTY","Grade 11",302
"2019-2020",18,"ANDREWS COUNTY","Grade 12",236
"2019-2020",07,"ANGELINA COUNTY","Early Education",58
"2019-2020",07,"ANGELINA COUNTY","Pre-kindergarten",954
"2019-2020",07,"ANGELINA COUNTY","Kindergarten",1236
"2019-2020",07,"ANGELINA COUNTY","Grade 1",1228
"2019-2020",07,"ANGELINA COUNTY","Grade 2",1263
"2019-2020",07,"ANGELINA COUNTY","Grade 3",1182
"2019-2020",07,"ANGELINA COUNTY","Grade 4",1200
"2019-2020",07,"ANGELINA COUNTY","Grade 5",1231
"2019-2020",07,"ANGELINA COUNTY","Grade 6",1307
"2019-2020",07,"ANGELINA COUNTY","Grade 7",1356
"2019-2020",07,"ANGELINA COUNTY","Grade 8",1274
"2019-2020",07,"ANGELINA COUNTY","Grade 9",1259
"2019-2020",07,"ANGELINA COUNTY","Grade 10",1287
"2019-2020",07,"ANGELINA COUNTY","Grade 11",1111
"2019-2020",07,"ANGELINA COUNTY","Grade 12",1115
"2019-2020",02,"ARANSAS COUNTY","Early Education",10
"2019-2020",02,"ARANSAS COUNTY","Pre-kindergarten",103
"2019-2020",02,"ARANSAS COUNTY","Kindergarten",222
"2019-2020",02,"ARANSAS COUNTY","Grade 1",195
"2019-2020",02,"ARANSAS COUNTY","Grade 2",200
"2019-2020",02,"ARANSAS COUNTY","Grade 3",222
"2019-2020",02,"ARANSAS COUNTY","Grade 4",238
"2019-2020",02,"ARANSAS COUNTY","Grade 5",212
"2019-2020",02,"ARANSAS COUNTY","Grade 6",243
"2019-2020",02,"ARANSAS COUNTY","Grade 7",217
"2019-2020",02,"ARANSAS COUNTY","Grade 8",229
"2019-2020",02,"ARANSAS COUNTY","Grade 9",247
"2019-2020",02,"ARANSAS COUNTY","Grade 10",257
"2019-2020",02,"ARANSAS COUNTY","Grade 11",183
"2019-2020",02,"ARANSAS COUNTY","Grade 12",188
"2019-2020",09,"ARCHER COUNTY","Early Education",8
"2019-2020",09,"ARCHER COUNTY","Pre-kindergarten",71
"2019-2020",09,"ARCHER COUNTY","Kindergarten",142
"2019-2020",09,"ARCHER COUNTY","Grade 1",145
"2019-2020",09,"ARCHER COUNTY","Grade 2",136
"2019-2020",09,"ARCHER COUNTY","Grade 3",135
"2019-2020",09,"ARCHER COUNTY","Grade 4",124
"2019-2020",09,"ARCHER COUNTY","Grade 5",148
"2019-2020",09,"ARCHER COUNTY","Grade 6",154
"2019-2020",09,"ARCHER COUNTY","Grade 7",148
"2019-2020",09,"ARCHER COUNTY","Grade 8",148
"2019-2020",09,"ARCHER COUNTY","Grade 9",151
"2019-2020",09,"ARCHER COUNTY","Grade 10",165
"2019-2020",09,"ARCHER COUNTY","Grade 11",142
"2019-2020",09,"ARCHER COUNTY","Grade 12",144
"2019-2020",16,"ARMSTRONG COUNTY","Pre-kindergarten",17
"2019-2020",16,"ARMSTRONG COUNTY","Kindergarten",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 1",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 2",22
"2019-2020",16,"ARMSTRONG COUNTY","Grade 3",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 4",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 5",25
"2019-2020",16,"ARMSTRONG COUNTY","Grade 6",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 7",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 8",19
"2019-2020",16,"ARMSTRONG COUNTY","Grade 9",27
"2019-2020",16,"ARMSTRONG COUNTY","Grade 10",21
"2019-2020",16,"ARMSTRONG COUNTY","Grade 11",25
"2019-2020",16,"ARMSTRONG COUNTY","Grade 12",19
"2019-2020",20,"ATASCOSA COUNTY","Early Education",47
"2019-2020",20,"ATASCOSA COUNTY","Pre-kindergarten",458
"2019-2020",20,"ATASCOSA COUNTY","Kindergarten",611
"2019-2020",20,"ATASCOSA COUNTY","Grade 1",690
"2019-2020",20,"ATASCOSA COUNTY","Grade 2",631
"2019-2020",20,"ATASCOSA COUNTY","Grade 3",673
"2019-2020",20,"ATASCOSA COUNTY","Grade 4",656
"2019-2020",20,"ATASCOSA COUNTY","Grade 5",703
"2019-2020",20,"ATASCOSA COUNTY","Grade 6",690
"2019-2020",20,"ATASCOSA COUNTY","Grade 7",717
"2019-2020",20,"ATASCOSA COUNTY","Grade 8",668
"2019-2020",20,"ATASCOSA COUNTY","Grade 9",675
"2019-2020",20,"ATASCOSA COUNTY","Grade 10",678
"2019-2020",20,"ATASCOSA COUNTY","Grade 11",587
"2019-2020",20,"ATASCOSA COUNTY","Grade 12",584
"2019-2020",06,"AUSTIN COUNTY","Early Education",36
"2019-2020",06,"AUSTIN COUNTY","Pre-kindergarten",221
"2019-2020",06,"AUSTIN COUNTY","Kindergarten",339
"2019-2020",06,"AUSTIN COUNTY","Grade 1",384
"2019-2020",06,"AUSTIN COUNTY","Grade 2",437
"2019-2020",06,"AUSTIN COUNTY","Grade 3",387
"2019-2020",06,"AUSTIN COUNTY","Grade 4",432
"2019-2020",06,"AUSTIN COUNTY","Grade 5",440
"2019-2020",06,"AUSTIN COUNTY","Grade 6",478
"2019-2020",06,"AUSTIN COUNTY","Grade 7",467
"2019-2020",06,"AUSTIN COUNTY","Grade 8",441
"2019-2020",06,"AUSTIN COUNTY","Grade 9",492
"2019-2020",06,"AUSTIN COUNTY","Grade 10",456
"2019-2020",06,"AUSTIN COUNTY","Grade 11",442
"2019-2020",06,"AUSTIN COUNTY","Grade 12",418
"2019-2020",17,"BAILEY COUNTY","Early Education",15
"2019-2020",17,"BAILEY COUNTY","Pre-kindergarten",80
"2019-2020",17,"BAILEY COUNTY","Kindergarten",89
"2019-2020",17,"BAILEY COUNTY","Grade 1",97
"2019-2020",17,"BAILEY COUNTY","Grade 2",105
"2019-2020",17,"BAILEY COUNTY","Grade 3",121
"2019-2020",17,"BAILEY COUNTY","Grade 4",95
"2019-2020",17,"BAILEY COUNTY","Grade 5",118
"2019-2020",17,"BAILEY COUNTY","Grade 6",108
"2019-2020",17,"BAILEY COUNTY","Grade 7",114
"2019-2020",17,"BAILEY COUNTY","Grade 8",110
"2019-2020",17,"BAILEY COUNTY","Grade 9",109
"2019-2020",17,"BAILEY COUNTY","Grade 10",87
"2019-2020",17,"BAILEY COUNTY","Grade 11",78
"2019-2020",17,"BAILEY COUNTY","Grade 12",77
"2019-2020",20,"BANDERA COUNTY","Early Education",14
"2019-2020",20,"BANDERA COUNTY","Pre-kindergarten",144
"2019-2020",20,"BANDERA COUNTY","Kindergarten",183
"2019-2020",20,"BANDERA COUNTY","Grade 1",187
"2019-2020",20,"BANDERA COUNTY","Grade 2",191
"2019-2020",20,"BANDERA COUNTY","Grade 3",184
"2019-2020",20,"BANDERA COUNTY","Grade 4",161
"2019-2020",20,"BANDERA COUNTY","Grade 5",196
"2019-2020",20,"BANDERA COUNTY","Grade 6",205
"2019-2020",20,"BANDERA COUNTY","Grade 7",193
"2019-2020",20,"BANDERA COUNTY","Grade 8",214
"2019-2020",20,"BANDERA COUNTY","Grade 9",203
"2019-2020",20,"BANDERA COUNTY","Grade 10",209
"2019-2020",20,"BANDERA COUNTY","Grade 11",155
"2019-2020",20,"BANDERA COUNTY","Grade 12",167
"2019-2020",13,"BASTROP COUNTY","Early Education",76
"2019-2020",13,"BASTROP COUNTY","Pre-kindergarten",801
"2019-2020",13,"BASTROP COUNTY","Kindergarten",1248
"2019-2020",13,"BASTROP COUNTY","Grade 1",1243
"2019-2020",13,"BASTROP COUNTY","Grade 2",1170
"2019-2020",13,"BASTROP COUNTY","Grade 3",1285
"2019-2020",13,"BASTROP COUNTY","Grade 4",1274
"2019-2020",13,"BASTROP COUNTY","Grade 5",1393
"2019-2020",13,"BASTROP COUNTY","Grade 6",1402
"2019-2020",13,"BASTROP COUNTY","Grade 7",1471
"2019-2020",13,"BASTROP COUNTY","Grade 8",1459
"2019-2020",13,"BASTROP COUNTY","Grade 9",1538
"2019-2020",13,"BASTROP COUNTY","Grade 10",1357
"2019-2020",13,"BASTROP COUNTY","Grade 11",1311
