T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","ENROLLMENT"
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","Female","OPEN ENROLLMENT CHARTER",911
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","Male","OPEN ENROLLMENT CHARTER",814
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","Female","OPEN ENROLLMENT CHARTER",695
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","Male","OPEN ENROLLMENT CHARTER",704
"2019-2020",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","Female","OPEN ENROLLMENT CHARTER",62
"2019-2020",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","Male","OPEN ENROLLMENT CHARTER",74
"2019-2020",12,"HILL COUNTY",109901,"ABBOTT ISD","Female","TRADITIONAL ISD/CSD",147
"2019-2020",12,"HILL COUNTY",109901,"ABBOTT ISD","Male","TRADITIONAL ISD/CSD",141
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","Female","TRADITIONAL ISD/CSD",389
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","Male","TRADITIONAL ISD/CSD",429
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","Female","TRADITIONAL ISD/CSD",8146
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","Male","TRADITIONAL ISD/CSD",8466
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","Female","OPEN ENROLLMENT CHARTER",87
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","Male","OPEN ENROLLMENT CHARTER",406
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","Female","TRADITIONAL ISD/CSD",825
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","Male","TRADITIONAL ISD/CSD",898
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","Female","OPEN ENROLLMENT CHARTER",402
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","Male","OPEN ENROLLMENT CHARTER",385
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","Female","OPEN ENROLLMENT CHARTER",242
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","Male","OPEN ENROLLMENT CHARTER",238
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","Female","OPEN ENROLLMENT CHARTER",146
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","Male","OPEN ENROLLMENT CHARTER",103
