"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Pre-kindergarten",457
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Kindergarten",248
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 1",174
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 2",153
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 3",145
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 4",115
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 5",127
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 6",118
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 7",110
"2019-2020",10,"DALLAS COUNTY",057816,"A W BROWN LEADERSHIP ACADEMY","OPEN ENROLLMENT CHARTER","Grade 8",78
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Pre-kindergarten",88
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Kindergarten",81
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 1",95
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 2",87
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 3",91
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 4",101
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 5",109
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 6",110
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 7",125
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 8",111
"2019-2020",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Grade 9",109
