"YEAR","REGION","ETHNICITY","ENROLLMENT"
"2019-2020",01,"American Indian or Alaska Nat",173
"2019-2020",01,"Asian",1898
"2019-2020",01,"Black or African American",2982
"2019-2020",01,"Hispanic/Latino",425896
"2019-2020",01,"Native Hawaiian/Other Pacific",77
"2019-2020",01,"Two or more races",761
"2019-2020",01,"White",7851
"2019-2020",02,"American Indian or Alaska Nat",163
"2019-2020",02,"Asian",1258
"2019-2020",02,"Black or African American",2355
"2019-2020",02,"Hispanic/Latino",76131
"2019-2020",02,"Native Hawaiian/Other Pacific",77
"2019-2020",02,"Two or more races",1300
"2019-2020",02,"White",19929
"2019-2020",03,"American Indian or Alaska Nat",76
"2019-2020",03,"Asian",628
"2019-2020",03,"Black or African American",4076
"2019-2020",03,"Hispanic/Latino",30881
"2019-2020",03,"Native Hawaiian/Other Pacific",18
"2019-2020",03,"Two or more races",864
"2019-2020",03,"White",16319
"2019-2020",04,"American Indian or Alaska Nat",5159
"2019-2020",04,"Asian",88105
"2019-2020",04,"Black or African American",228979
"2019-2020",04,"Hispanic/Latino",646031
"2019-2020",04,"Native Hawaiian/Other Pacific",1530
"2019-2020",04,"Two or more races",26799
"2019-2020",04,"White",251822
"2019-2020",05,"American Indian or Alaska Nat",514
"2019-2020",05,"Asian",1807
"2019-2020",05,"Black or African American",21014
"2019-2020",05,"Hispanic/Latino",19602
"2019-2020",05,"Native Hawaiian/Other Pacific",52
"2019-2020",05,"Two or more races",2217
"2019-2020",05,"White",39304
"2019-2020",06,"American Indian or Alaska Nat",860
"2019-2020",06,"Asian",5147
"2019-2020",06,"Black or African American",21742
"2019-2020",06,"Hispanic/Latino",77107
"2019-2020",06,"Native Hawaiian/Other Pacific",271
"2019-2020",06,"Two or more races",5890
"2019-2020",06,"White",94369
"2019-2020",07,"American Indian or Alaska Nat",607
"2019-2020",07,"Asian",1692
"2019-2020",07,"Black or African American",28716
"2019-2020",07,"Hispanic/Latino",52048
"2019-2020",07,"Native Hawaiian/Other Pacific",119
"2019-2020",07,"Two or more races",6492
"2019-2020",07,"White",86621
"2019-2020",08,"American Indian or Alaska Nat",319
"2019-2020",08,"Asian",464
"2019-2020",08,"Black or African American",11173
"2019-2020",08,"Hispanic/Latino",12877
"2019-2020",08,"Native Hawaiian/Other Pacific",53
"2019-2020",08,"Two or more races",2732
"2019-2020",08,"White",30277
"2019-2020",09,"American Indian or Alaska Nat",226
"2019-2020",09,"Asian",568
"2019-2020",09,"Black or African American",2646
"2019-2020",09,"Hispanic/Latino",10786
"2019-2020",09,"Native Hawaiian/Other Pacific",42
"2019-2020",09,"Two or more races",1832
"2019-2020",09,"White",21471
"2019-2020",10,"American Indian or Alaska Nat",5335
"2019-2020",10,"Asian",72798
"2019-2020",10,"Black or African American",162455
"2019-2020",10,"Hispanic/Latino",385501
"2019-2020",10,"Native Hawaiian/Other Pacific",883
"2019-2020",10,"Two or more races",25760
"2019-2020",10,"White",234110
"2019-2020",11,"American Indian or Alaska Nat",2388
"2019-2020",11,"Asian",30584
"2019-2020",11,"Black or African American",91323
"2019-2020",11,"Hispanic/Latino",220545
"2019-2020",11,"Native Hawaiian/Other Pacific",1821
"2019-2020",11,"Two or more races",20010
"2019-2020",11,"White",231901
"2019-2020",12,"American Indian or Alaska Nat",693
"2019-2020",12,"Asian",3637
"2019-2020",12,"Black or African American",34947
"2019-2020",12,"Hispanic/Latino",62673
"2019-2020",12,"Native Hawaiian/Other Pacific",1589
"2019-2020",12,"Two or more races",8670
"2019-2020",12,"White",65780
"2019-2020",13,"American Indian or Alaska Nat",941
"2019-2020",13,"Asian",23804
"2019-2020",13,"Black or African American",26672
"2019-2020",13,"Hispanic/Latino",182790
