T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2019-2020",01,"Female","Early Education",270
"2019-2020",01,"Male","Early Education",608
"2019-2020",01,"Female","Pre-kindergarten",15920
"2019-2020",01,"Male","Pre-kindergarten",15756
"2019-2020",01,"Female","Kindergarten",14531
"2019-2020",01,"Male","Kindergarten",15365
"2019-2020",01,"Female","Grade 1",14990
"2019-2020",01,"Male","Grade 1",15794
"2019-2020",01,"Female","Grade 2",14819
"2019-2020",01,"Male","Grade 2",15618
"2019-2020",01,"Female","Grade 3",14572
"2019-2020",01,"Male","Grade 3",15499
"2019-2020",01,"Female","Grade 4",14597
"2019-2020",01,"Male","Grade 4",15017
"2019-2020",01,"Female","Grade 5",15388
"2019-2020",01,"Male","Grade 5",15983
"2019-2020",01,"Female","Grade 6",16195
"2019-2020",01,"Male","Grade 6",16988
"2019-2020",01,"Female","Grade 7",16270
"2019-2020",01,"Male","Grade 7",16808
"2019-2020",01,"Female","Grade 8",15819
"2019-2020",01,"Male","Grade 8",16425
"2019-2020",01,"Female","Grade 9",17170
"2019-2020",01,"Male","Grade 9",18545
"2019-2020",01,"Female","Grade 10",15869
"2019-2020",01,"Male","Grade 10",16561
"2019-2020",01,"Female","Grade 11",14545
"2019-2020",01,"Male","Grade 11",14953
"2019-2020",01,"Female","Grade 12",14309
"2019-2020",01,"Male","Grade 12",14454
"2019-2020",02,"Female","Early Education",139
"2019-2020",02,"Male","Early Education",317
"2019-2020",02,"Female","Pre-kindergarten",2155
"2019-2020",02,"Male","Pre-kindergarten",2284
"2019-2020",02,"Female","Kindergarten",3573
"2019-2020",02,"Male","Kindergarten",3704
"2019-2020",02,"Female","Grade 1",3475
"2019-2020",02,"Male","Grade 1",3776
"2019-2020",02,"Female","Grade 2",3390
"2019-2020",02,"Male","Grade 2",3678
"2019-2020",02,"Female","Grade 3",3509
"2019-2020",02,"Male","Grade 3",3702
"2019-2020",02,"Female","Grade 4",3588
"2019-2020",02,"Male","Grade 4",3721
"2019-2020",02,"Female","Grade 5",3783
"2019-2020",02,"Male","Grade 5",3939
"2019-2020",02,"Female","Grade 6",3912
"2019-2020",02,"Male","Grade 6",3993
"2019-2020",02,"Female","Grade 7",3675
"2019-2020",02,"Male","Grade 7",4056
"2019-2020",02,"Female","Grade 8",3697
"2019-2020",02,"Male","Grade 8",4094
"2019-2020",02,"Female","Grade 9",3984
"2019-2020",02,"Male","Grade 9",4304
"2019-2020",02,"Female","Grade 10",3560
"2019-2020",02,"Male","Grade 10",3766
"2019-2020",02,"Female","Grade 11",3364
"2019-2020",02,"Male","Grade 11",3410
"2019-2020",02,"Female","Grade 12",3281
"2019-2020",02,"Male","Grade 12",3384
"2019-2020",03,"Female","Early Education",83
"2019-2020",03,"Male","Early Education",220
"2019-2020",03,"Female","Pre-kindergarten",1268
"2019-2020",03,"Male","Pre-kindergarten",1203
"2019-2020",03,"Female","Kindergarten",1798
"2019-2020",03,"Male","Kindergarten",1946
"2019-2020",03,"Female","Grade 1",1903
"2019-2020",03,"Male","Grade 1",1900
"2019-2020",03,"Female","Grade 2",1817
"2019-2020",03,"Male","Grade 2",1857
"2019-2020",03,"Female","Grade 3",1819
"2019-2020",03,"Male","Grade 3",1856
"2019-2020",03,"Female","Grade 4",1863
"2019-2020",03,"Male","Grade 4",2012
"2019-2020",03,"Female","Grade 5",1931
"2019-2020",03,"Male","Grade 5",2008
"2019-2020",03,"Female","Grade 6",2002
"2019-2020",03,"Male","Grade 6",2198
"2019-2020",03,"Female","Grade 7",2005
"2019-2020",03,"Male","Grade 7",2132
"2019-2020",03,"Female","Grade 8",1910
"2019-2020",03,"Male","Grade 8",2018
"2019-2020",03,"Female","Grade 9",1998
"2019-2020",03,"Male","Grade 9",2213
"2019-2020",03,"Female","Grade 10",1830
"2019-2020",03,"Male","Grade 10",1958
"2019-2020",03,"Female","Grade 11",1824
"2019-2020",03,"Male","Grade 11",1785
"2019-2020",03,"Female","Grade 12",1696
"2019-2020",03,"Male","Grade 12",1809
"2019-2020",04,"Female","Early Education",1812
"2019-2020",04,"Male","Early Education",4320
"2019-2020",04,"Female","Pre-kindergarten",27259
"2019-2020",04,"Male","Pre-kindergarten",26956
"2019-2020",04,"Female","Kindergarten",42049
"2019-2020",04,"Male","Kindergarten",43820
"2019-2020",04,"Female","Grade 1",43594
"2019-2020",04,"Male","Grade 1",45601
"2019-2020",04,"Female","Grade 2",43365
"2019-2020",04,"Male","Grade 2",45657
"2019-2020",04,"Female","Grade 3",44227
"2019-2020",04,"Male","Grade 3",46162
"2019-2020",04,"Female","Grade 4",45088
"2019-2020",04,"Male","Grade 4",47319
"2019-2020",04,"Female","Grade 5",47293
"2019-2020",04,"Male","Grade 5",49326
"2019-2020",04,"Female","Grade 6",46618
"2019-2020",04,"Male","Grade 6",49445
"2019-2020",04,"Female","Grade 7",46954
"2019-2020",04,"Male","Grade 7",49732
"2019-2020",04,"Female","Grade 8",45593
"2019-2020",04,"Male","Grade 8",47739
"2019-2020",04,"Female","Grade 9",48241
"2019-2020",04,"Male","Grade 9",53217
"2019-2020",04,"Female","Grade 10",44287
"2019-2020",04,"Male","Grade 10",46586
"2019-2020",04,"Female","Grade 11",42449
"2019-2020",04,"Male","Grade 11",43520
"2019-2020",04,"Female","Grade 12",39759
"2019-2020",04,"Male","Grade 12",40437
"2019-2020",05,"Female","Early Education",193
"2019-2020",05,"Male","Early Education",405
"2019-2020",05,"Female","Pre-kindergarten",2193
