"YEAR","GENDER","GRADE","ENROLLMENT"
"2019-2020","Female","Early Education",7885
"2019-2020","Male","Early Education",17998
"2019-2020","Female","Pre-kindergarten",124575
"2019-2020","Male","Pre-kindergarten",124651
"2019-2020","Female","Kindergarten",187020
"2019-2020","Male","Kindergarten",197094
"2019-2020","Female","Grade 1",190986
"2019-2020","Male","Grade 1",200463
"2019-2020","Female","Grade 2",189684
"2019-2020","Male","Grade 2",198991
"2019-2020","Female","Grade 3",191168
"2019-2020","Male","Grade 3",200627
"2019-2020","Female","Grade 4",195070
"2019-2020","Male","Grade 4",205041
"2019-2020","Female","Grade 5",203725
"2019-2020","Male","Grade 5",213719
"2019-2020","Female","Grade 6",206059
"2019-2020","Male","Grade 6",216681
"2019-2020","Female","Grade 7",205885
"2019-2020","Male","Grade 7",217660
"2019-2020","Female","Grade 8",200530
"2019-2020","Male","Grade 8",210742
"2019-2020","Female","Grade 9",214523
"2019-2020","Male","Grade 9",234599
"2019-2020","Female","Grade 10",198922
"2019-2020","Male","Grade 10",208122
"2019-2020","Female","Grade 11",186678
"2019-2020","Male","Grade 11",190530
"2019-2020","Female","Grade 12",175909
"2019-2020","Male","Grade 12",178403

