T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","GRADE","ENROLLMENT"
"2019-2020","Early Education",25883
"2019-2020","Pre-kindergarten",249226
"2019-2020","Kindergarten",384114
"2019-2020","Grade 1",391449
"2019-2020","Grade 2",388675
"2019-2020","Grade 3",391795
"2019-2020","Grade 4",400111
"2019-2020","Grade 5",417444
"2019-2020","Grade 6",422740
"2019-2020","Grade 7",423545
"2019-2020","Grade 8",411272
"2019-2020","Grade 9",449122
"2019-2020","Grade 10",407044
"2019-2020","Grade 11",377208
"2019-2020","Grade 12",354312

