School Year,LEA TYPE,LEA Name,School Name,Total K-12,K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Female,Male,American Indian,AfAm/Black,Asian,Hispanic,Multiple Race,Pacific Islander,White,Economically Disadvantaged,English Learner,Student With a Disability,Homeless,Preschool
2020,District,Alpine District,Alpine Online School,112,11,7,9,10,12,12,18,15,18,0,0,0,0,55,57,0,1,1,4,3,1,102,16,0,9,0,0
2020,District,Alpine District,Alpine School,639,72,93,77,104,88,99,106,0,0,0,0,0,0,317,322,0,3,16,30,35,0,555,64,10,65,0,32
2020,District,Alpine District,American Fork High,2393,0,0,0,0,0,0,0,0,0,67,795,822,709,1186,1207,3,18,20,196,74,19,2063,334,35,169,0,0
2020,District,Alpine District,American Fork Jr High,1983,0,0,0,0,0,0,1,663,652,667,0,0,0,933,1050,9,7,15,168,72,18,1694,402,40,191,3,0
2020,District,Alpine District,Aspen School,412,51,49,53,49,79,63,68,0,0,0,0,0,0,197,215,4,1,2,53,26,9,317,128,23,54,0,3
2020,District,Alpine District,Barratt School,483,56,55,65,77,73,78,79,0,0,0,0,0,0,216,267,3,4,2,32,21,4,417,87,9,52,0,30
2020,District,Alpine District,Belmont School,799,110,155,143,89,111,105,86,0,0,0,0,0,0,400,399,8,6,15,66,43,19,642,194,27,80,0,49
2020,District,Alpine District,Black Ridge School,1140,144,153,181,161,170,165,166,0,0,0,0,0,0,546,594,5,11,10,64,34,6,1010,149,16,78,2,6
2020,District,Alpine District,Bonneville School,560,85,77,75,72,88,76,87,0,0,0,0,0,0,260,300,2,5,11,127,22,25,368,281,82,72,0,55
2020,District,Alpine District,Brookhaven School,1349,227,229,212,183,182,165,151,0,0,0,0,0,0,684,665,6,8,8,158,76,13,1080,218,21,123,1,12
2020,District,Alpine District,Canyon View Jr High,1183,0,0,0,0,0,0,1,401,407,374,0,0,0,518,665,6,11,14,317,48,21,766,462,94,126,1,0
2020,District,Alpine District,Cascade School,721,72,120,104,120,100,98,107,0,0,0,0,0,0,332,389,1,3,22,82,50,15,548,182,32,57,0,4
2020,District,Alpine District,Cedar Ridge School,780,86,111,93,117,120,120,133,0,0,0,0,0,0,415,365,0,0,6,36,30,4,704,102,3,76,0,30
2020,District,Alpine District,Cedar Valley High,1990,0,0,0,0,0,0,0,1,0,610,590,489,300,975,1015,4,11,14,239,79,23,1620,546,40,196,7,0
2020,District,Alpine District,Cedar Valley School,96,10,18,16,14,12,13,13,0,0,0,0,0,0,36,60,0,0,0,3,4,0,89,29,1,17,0,0
2020,District,Alpine District,Centennial Elementary,748,119,83,95,108,113,113,117,0,0,0,0,0,0,350,398,3,12,7,160,35,15,516,274,63,114,0,41
2020,District,Alpine District,Central School,515,74,76,68,67,81,61,88,0,0,0,0,0,0,225,290,1,3,1,73,21,1,415,244,42,47,0,37
2020,District,Alpine District,Cherry Hill School,723,94,114,103,99,104,111,98,0,0,0,0,0,0,364,359,2,2,4,257,35,18,405,366,122,72,0,38
2020,District,Alpine District,Dan W. Peterson,232,1,8,7,7,6,4,3,5,9,8,11,7,156,92,140,0,4,6,34,6,4,178,95,15,232,0,5
2020,District,Alpine District,Deerfield School,617,67,66,80,91,82,111,120,0,0,0,0,0,0,299,318,1,4,4,33,24,5,546,46,1,34,0,72
2020,District,Alpine District,Dry Creek School,1041,158,172,149,166,135,134,127,0,0,0,0,0,0,506,535,0,8,7,60,36,10,920,129,20,70,0,44
2020,District,Alpine District,Eagle Valley School,753,123,128,95,111,97,96,103,0,0,0,0,0,0,382,371,2,4,3,85,48,18,593,288,16,80,0,48
2020,District,Alpine District,Eaglecrest School,999,122,137,145,129,158,143,165,0,0,0,0,0,0,482,517,2,6,5,52,42,9,883,121,8,107,0,47
2020,District,Alpine District,Foothill School,592,67,75,87,85,78,92,108,0,0,0,0,0,0,275,317,3,4,9,43,18,11,504,116,13,79,0,38
2020,District,Alpine District,Forbes School,453,54,72,60,58,60,69,80,0,0,0,0,0,0,213,240,2,5,0,69,20,11,346,176,23,73,1,1
2020,District,Alpine District,Fox Hollow School,698,94,110,89,113,102,88,102,0,0,0,0,0,0,319,379,1,4,4,63,30,13,583,112,14,75,0,3
2020,District,Alpine District,Freedom School,905,113,118,123,113,133,152,153,0,0,0,0,0,0,437,468,3,6,4,37,18,5,832,112,2,70,1,30
2020,District,Alpine District,Frontier Middle School,1307,0,0,0,0,0,0,0,676,631,0,0,0,0,653,654,3,15,4,153,52,19,1061,377,23,137,2,0
2020,District,Alpine District,Geneva School,304,41,43,40,42,39,52,47,0,0,0,0,0,0,146,158,1,5,3,159,14,7,115,224,106,38,1,59
2020,District,Alpine District,Greenwood School,743,121,94,121,91,96,112,108,0,0,0,0,0,0,360,383,3,2,6,164,40,14,514,378,119,98,9,67
2020,District,Alpine District,Grovecrest School,730,89,90,88,118,101,119,125,0,0,0,0,0,0,368,362,0,7,0,38,30,3,652,156,8,79,0,3
2020,District,Alpine District,Harvest School,969,136,145,126,141,134,154,133,0,0,0,0,0,0,500,469,0,3,1,145,43,6,771,156,20,92,0,60
2020,District,Alpine District,Hidden Hollow School,988,147,128,145,129,151,156,132,0,0,0,0,0,0,497,491,1,0,0,99,60,10,818,281,23,107,0,51
2020,District,Alpine District,Highland School,774,66,90,101,125,126,124,142,0,0,0,0,0,0,340,434,0,3,15,18,35,8,695,111,4,90,0,1
2020,District,Alpine District,Horizon School,120,2,1,3,1,7,4,1,6,4,4,4,7,76,51,69,1,4,5,9,2,4,95,30,4,120,0,3
2020,District,Alpine District,Lake Mountain Middle,1266,0,0,0,0,0,0,0,436,449,381,0,0,0,616,650,2,8,4,119,77,5,1051,188,24,115,0,0
2020,District,Alpine District,Lakeridge Jr High,1226,0,0,0,0,0,0,0,450,404,372,0,0,0,610,616,7,13,14,357,55,27,753,516,127,121,4,0
2020,District,Alpine District,Legacy School,745,90,120,112,96,96,121,110,0,0,0,0,0,0,364,381,1,5,3,58,25,3,650,117,11,66,1,89
2020,District,Alpine District,Lehi High,1617,0,0,0,0,0,0,0,0,0,50,558,549,460,829,788,7,16,7,148,47,10,1382,229,23,136,0,0
2020,District,Alpine District,Lehi Jr High,1332,0,0,0,0,0,0,0,679,653,0,0,0,0,639,693,3,3,8,94,60,17,1147,207,23,109,0,0
