County,2012-2013 Total Dropouts,Rank by Number,Cohort Dropout Rate,Rank by Percent
Adams,55,30,19.57,16
Asotin,70,28,23.65,9
Benton,371,10,14.61,27
Chelan,231,18,21.59,14
Clallam,971,4,51.05,2
Clark,876,6,15.09,25
Columbia,6,36,16.22,23
Cowlitz,239,17,17.63,19
Douglas,66,29,13.02,31
Ferry,6,37,9.23,36
Franklin,265,14,22.27,12
Garfield,1,39,3.57,39
Grant,326,13,23.66,8
Grays Harbor,211,19,24.59,6
Island,78,26,11.73,35
Jefferson,31,31,14.62,26
King,2907,1,14.56,28
Kitsap,389,9,12.74,32
Kittitas,79,25,19.9,15
Klickitat,88,23,29.83,5
Lewis,247,15,23.37,11
Lincoln,10,35,5.99,38
Mason,101,22,17.21,20
Okanogan,132,20,23.91,7
Pacific,127,21,40.71,3
Pend Oreille,18,34,12.33,33
Pierce,1831,2,19.02,17
San Juan,20,33,16.67,21
Skagit,336,12,22.16,13
Skamania,75,27,53.19,1
Snohomish,1334,3,15.67,24
Spokane,853,7,14.47,29
Stevens,245,16,34.22,4
Thurston,518,8,16.65,22
Wahkiakum,5,38,13.16,30
Walla Walla,86,24,12.29,34
Whatcom,358,11,18.27,18
Whitman,28,32,8.24,37
Yakima,885,5,23.54,10
